realtime_start,value,date,realtime_end
2019-12-06,9.9,2006-01-01,2019-12-06
2019-12-06,10.1,2007-01-01,2019-12-06
2019-12-06,10.2,2008-01-01,2019-12-06
2019-12-06,10.3,2009-01-01,2019-12-06
2019-12-06,10.4,2010-01-01,2019-12-06
2019-12-06,10.6,2011-01-01,2019-12-06
2019-12-06,10.9,2012-01-01,2019-12-06
