realtime_start,value,date,realtime_end
2019-12-06,34.5,2009-01-01,2019-12-06
2019-12-06,34.5,2010-01-01,2019-12-06
2019-12-06,34.6,2011-01-01,2019-12-06
2019-12-06,34.7,2012-01-01,2019-12-06
2019-12-06,34.8,2013-01-01,2019-12-06
2019-12-06,34.9,2014-01-01,2019-12-06
2019-12-06,35.1,2015-01-01,2019-12-06
2019-12-06,35.3,2016-01-01,2019-12-06
2019-12-06,35.4,2017-01-01,2019-12-06
