Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,211 ",356 ,544 ,295 ,16 ,"57,619 ","26,558 ","25,876 ","5,180 ",5 ,"49,792 ","22,210 ","23,325 ","4,254 ",3 ,"6,839 ","3,811 ","2,233 ",794 ,1 ,655 ,373 ,222 ,60 ,0 ,333 ,164 ,96 ,,,"3,861 ","2,563 ",820 ,396 ,82 ,"2,096 ","1,459 ",404 ,169 ,64 ,"1,765 ","1,104 ",416 ,227 ,18 ,"9,583 ","3,557 ","3,240 ",968 ,"1,818 ","7,473 ","2,623 ","2,346 ",692 ,"1,812 ","1,974 ",877 ,862 ,235 ,0 ,136 ,57 ,32 ,41 ,6 ,197 ,79 ,68 ,17 ,33 ,"316,551 ","161,391 ","114,527 ","31,923 ","8,710 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,744 ,225 ,269 ,225 ,25 ,"49,950 ","26,515 ","18,271 ","5,151 ",13 ,"42,769 ","21,578 ","16,848 ","4,333 ",10 ,"6,412 ","4,437 ","1,263 ",710 ,2 ,534 ,385 ,104 ,45 ,0 ,235 ,115 ,56 ,,,"3,553 ","2,976 ",261 ,227 ,89 ,"2,575 ","2,277 ",125 ,115 ,58 ,978 ,699 ,136 ,112 ,31 ,"9,262 ","4,557 ","1,707 ",907 ,"2,091 ","7,254 ","3,323 ","1,200 ",651 ,"2,080 ","1,869 ","1,175 ",464 ,230 ,0 ,139 ,59 ,43 ,26 ,11 ,329 ,162 ,90 ,8 ,69 ,"277,137 ","161,405 ","77,603 ","27,405 ","10,724 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997　Jan．,925 ,153 ,306 ,445 ,21 ,"56,332 ","20,324 ","22,454 ","13,537 ",17 ,"46,911 ","15,874 ","20,560 ","10,464 ",13 ,"8,465 ","3,981 ","1,656 ","2,825 ",3 ,636 ,330 ,156 ,150 ,0 ,320 ,139 ,82 ,98 ,1 ,"3,972 ","2,692 ",356 ,809 ,115 ,"2,418 ","1,730 ",203 ,394 ,91 ,"1,554 ",962 ,153 ,415 ,24 ,"9,476 ","3,296 ","2,026 ","2,652 ","1,502 ","7,364 ","2,444 ","1,487 ","1,941 ","1,492 ","1,886 ",793 ,484 ,609 ,0 ,226 ,59 ,55 ,102 ,10 ,309 ,79 ,77 ,30 ,123 ,"302,148 ","143,622 ","85,695 ","62,227 ","10,604 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,711 ,177 ,272 ,240 ,22 ,"46,796 ","19,636 ","23,085 ","4,068 ",7 ,"39,544 ","15,302 ","21,034 ","3,205 ",3 ,"6,393 ","3,931 ","1,758 ",703 ,1 ,577 ,263 ,208 ,106 ,0 ,282 ,140 ,85 ,54 ,3 ,"2,901 ","2,079 ",378 ,380 ,64 ,"1,966 ","1,498 ",193 ,218 ,57 ,935 ,581 ,185 ,162 ,7 ,"7,069 ","2,496 ","2,336 ",902 ,"1,335 ","5,411 ","1,808 ","1,612 ",658 ,"1,333 ","1,549 ",660 ,696 ,193 ,0 ,109 ,28 ,28 ,51 ,2 ,342 ,181 ,74 ,24 ,63 ,"309,318 ","181,088 ","86,580 ","32,892 ","8,758 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,123 ",269 ,549 ,273 ,32 ,"66,526 ","32,580 ","26,546 ","7,389 ",11 ,"55,654 ","26,008 ","23,807 ","5,833 ",6 ,"9,311 ","5,795 ","2,191 ","1,325 ",0 ,"1,175 ",619 ,410 ,146 ,0 ,386 ,158 ,138 ,85 ,5 ,"4,149 ","2,906 ",688 ,458 ,97 ,"2,781 ","2,086 ",350 ,279 ,66 ,"1,368 ",820 ,338 ,179 ,31 ,"10,682 ","4,243 ","2,912 ","1,680 ","1,847 ","8,122 ","3,105 ","2,025 ","1,155 ","1,837 ","2,318 ","1,062 ",813 ,443 ,0 ,242 ,76 ,74 ,82 ,10 ,359 ,186 ,96 ,19 ,58 ,"355,228 ","195,638 ","105,708 ","46,173 ","7,709 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,046 ",292 ,426 ,307 ,21 ,"65,790 ","32,096 ","26,108 ","7,578 ",8 ,"56,821 ","26,881 ","23,773 ","6,160 ",7 ,"7,829 ","4,610 ","2,006 ","1,213 ",0 ,736 ,457 ,186 ,93 ,0 ,404 ,148 ,143 ,112 ,1 ,"4,783 ","3,334 ",694 ,658 ,97 ,"3,063 ","2,329 ",315 ,343 ,76 ,"1,720 ","1,005 ",379 ,315 ,21 ,"10,299 ","4,498 ","2,907 ","1,509 ","1,385 ","7,435 ","2,969 ","2,014 ","1,080 ","1,372 ","2,660 ","1,472 ",841 ,347 ,0 ,204 ,57 ,52 ,82 ,13 ,338 ,153 ,113 ,25 ,47 ,"364,875 ","209,324 ","103,890 ","44,685 ","6,976 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,385 ",379 ,525 ,454 ,27 ,"65,679 ","32,935 ","26,571 ","6,158 ",15 ,"56,680 ","27,774 ","24,156 ","4,743 ",7 ,"7,523 ","4,314 ","2,004 ","1,205 ",0 ,"1,050 ",671 ,267 ,110 ,2 ,426 ,176 ,144 ,100 ,6 ,"4,380 ","3,149 ",671 ,470 ,90 ,"2,543 ","1,954 ",310 ,217 ,62 ,"1,837 ","1,195 ",361 ,253 ,28 ,"10,700 ","4,253 ","3,174 ","1,066 ","2,207 ","7,959 ","2,795 ","2,184 ",782 ,"2,198 ","2,555 ","1,412 ",950 ,193 ,0 ,186 ,46 ,40 ,91 ,9 ,398 ,171 ,137 ,17 ,73 ,"350,961 ","196,823 ","106,345 ","37,804 ","9,989 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,071 ",266 ,447 ,342 ,16 ,"61,715 ","32,099 ","24,897 ","4,718 ",1 ,"54,312 ","27,637 ","22,794 ","3,880 ",1 ,"6,319 ","3,796 ","1,798 ",725 ,0 ,710 ,478 ,174 ,58 ,0 ,374 ,188 ,131 ,55 ,0 ,"3,594 ","2,497 ",529 ,499 ,69 ,"2,207 ","1,590 ",255 ,306 ,56 ,"1,387 ",907 ,274 ,193 ,13 ,"11,921 ","5,193 ","2,735 ",931 ,"3,062 ","9,057 ","3,402 ","1,928 ",678 ,"3,049 ","2,576 ","1,678 ",736 ,162 ,0 ,288 ,113 ,71 ,91 ,13 ,477 ,279 ,110 ,28 ,60 ,"345,070 ","199,452 ","101,949 ","31,495 ","12,174 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,105 ",365 ,381 ,332 ,27 ,"63,462 ","33,937 ","22,210 ","7,310 ",5 ,"53,572 ","27,505 ","20,346 ","5,720 ",1 ,"8,089 ","5,222 ","1,579 ","1,287 ",1 ,"1,216 ",914 ,164 ,138 ,0 ,585 ,296 ,121 ,165 ,3 ,"4,699 ","3,591 ",513 ,524 ,71 ,"3,261 ","2,621 ",244 ,348 ,48 ,"1,438 ",970 ,269 ,176 ,23 ,"12,479 ","5,642 ","2,694 ","1,503 ","2,640 ","9,143 ","3,594 ","1,850 ","1,067 ","2,632 ","2,851 ","1,758 ",761 ,332 ,0 ,485 ,290 ,83 ,104 ,8 ,396 ,218 ,89 ,13 ,76 ,"407,510 ","264,630 ","92,995 ","37,544 ","12,341 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,370 ",349 ,422 ,573 ,26 ,"58,691 ","28,047 ","19,184 ","11,451 ",9 ,"48,624 ","21,931 ","17,580 ","9,113 ",0 ,"8,760 ","5,390 ","1,348 ","2,022 ",0 ,825 ,536 ,148 ,141 ,0 ,482 ,190 ,108 ,175 ,9 ,"4,303 ","2,908 ",541 ,772 ,82 ,"2,511 ","1,805 ",251 ,391 ,64 ,"1,792 ","1,103 ",290 ,381 ,18 ,"10,124 ","4,239 ","2,354 ","1,952 ","1,579 ","7,669 ","2,994 ","1,669 ","1,443 ","1,563 ","2,229 ","1,165 ",641 ,423 ,0 ,226 ,80 ,44 ,86 ,16 ,525 ,369 ,58 ,40 ,58 ,"395,056 ","245,466 ","78,159 ","59,891 ","11,540 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"1,314 ",300 ,485 ,499 ,30 ,"58,221 ","24,485 ","26,295 ","7,439 ",2 ,"50,053 ","20,290 ","23,924 ","5,839 ",0 ,"6,923 ","3,479 ","2,049 ","1,395 ",0 ,813 ,509 ,188 ,116 ,0 ,432 ,207 ,134 ,89 ,2 ,"4,518 ","3,198 ",673 ,574 ,73 ,"2,736 ","2,084 ",306 ,284 ,62 ,"1,782 ","1,114 ",367 ,290 ,11 ,"13,854 ","7,537 ","3,095 ","1,293 ","1,929 ","10,832 ","5,784 ","2,155 ",970 ,"1,923 ","2,784 ","1,685 ",857 ,242 ,0 ,238 ,68 ,83 ,81 ,6 ,264 ,138 ,65 ,15 ,46 ,"345,382 ","183,774 ","104,107 ","49,409 ","8,092 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,735 ",388 ,762 ,562 ,23 ,"74,736 ","38,020 ","31,501 ","5,212 ",3 ,"64,154 ","31,801 ","28,243 ","4,110 ",0 ,"9,130 ","5,384 ","2,824 ",922 ,0 ,913 ,594 ,239 ,79 ,1 ,539 ,241 ,195 ,101 ,2 ,"4,664 ","3,159 ",872 ,535 ,98 ,"2,760 ","2,073 ",392 ,233 ,62 ,"1,904 ","1,086 ",480 ,302 ,36 ,"12,350 ","5,284 ","4,273 ","1,144 ","1,649 ","9,540 ","4,080 ","2,974 ",847 ,"1,639 ","2,449 ","1,101 ","1,157 ",191 ,0 ,361 ,103 ,142 ,106 ,10 ,297 ,163 ,87 ,26 ,21 ,"419,235 ","230,265 ","138,508 ","43,140 ","7,322 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,481 ",309 ,741 ,408 ,23 ,"61,490 ","26,207 ","29,610 ","5,663 ",10 ,"52,112 ","21,209 ","26,183 ","4,717 ",3 ,"8,008 ","4,323 ","2,951 ",734 ,0 ,778 ,435 ,267 ,76 ,0 ,592 ,240 ,209 ,136 ,7 ,"4,005 ","2,590 ",927 ,418 ,70 ,"2,506 ","1,772 ",451 ,229 ,54 ,"1,499 ",818 ,476 ,189 ,16 ,"11,043 ","4,477 ","3,651 ","1,142 ","1,773 ","8,641 ","3,415 ","2,614 ",856 ,"1,756 ","2,175 ",991 ,958 ,226 ,0 ,227 ,71 ,79 ,60 ,17 ,263 ,165 ,66 ,15 ,17 ,"342,434 ","173,145 ","124,975 ","36,056 ","8,258 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,999 ,311 ,357 ,310 ,21 ,"51,633 ","27,483 ","19,082 ","5,066 ",2 ,"43,300 ","21,517 ","17,573 ","4,210 ",0 ,"7,421 ","5,403 ","1,290 ",728 ,0 ,629 ,416 ,117 ,96 ,0 ,283 ,147 ,102 ,32 ,2 ,"3,672 ","3,090 ",265 ,252 ,65 ,"2,568 ","2,273 ",128 ,120 ,47 ,"1,104 ",817 ,137 ,132 ,18 ,"12,434 ","6,547 ","1,740 ","1,093 ","3,054 ","10,287 ","5,130 ","1,303 ",830 ,"3,024 ","1,965 ","1,336 ",405 ,224 ,0 ,182 ,81 ,32 ,39 ,30 ,363 ,268 ,58 ,8 ,29 ,"280,991 ","168,597 ","73,385 ","29,577 ","9,432 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998　Jan．,"1,106 ",223 ,334 ,528 ,21 ,"59,799 ","22,043 ","23,960 ","13,794 ",2 ,"48,625 ","16,388 ","21,684 ","10,551 ",2 ,"10,201 ","5,249 ","2,012 ","2,940 ",0 ,587 ,265 ,144 ,178 ,0 ,386 ,141 ,120 ,125 ,0 ,"3,344 ","2,139 ",341 ,789 ,75 ,"1,971 ","1,426 ",124 ,366 ,55 ,"1,373 ",713 ,217 ,423 ,20 ,"12,422 ","4,538 ","2,254 ","2,889 ","2,741 ","10,010 ","3,501 ","1,670 ","2,111 ","2,728 ","2,230 ",997 ,549 ,684 ,0 ,182 ,40 ,35 ,94 ,13 ,426 ,268 ,58 ,22 ,78 ,"324,913 ","174,130 ","77,477 ","64,787 ","8,519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,968 ,208 ,414 ,325 ,21 ,"55,476 ","25,347 ","26,097 ","4,031 ",1 ,"46,476 ","19,741 ","23,484 ","3,250 ",1 ,"8,073 ","5,136 ","2,262 ",675 ,0 ,609 ,330 ,228 ,51 ,0 ,318 ,140 ,123 ,55 ,0 ,"2,825 ","1,957 ",425 ,370 ,73 ,"1,769 ","1,297 ",208 ,214 ,50 ,"1,056 ",660 ,217 ,156 ,23 ,"9,096 ","3,301 ","2,823 ",997 ,"1,975 ","7,361 ","2,565 ","2,097 ",733 ,"1,966 ","1,596 ",681 ,695 ,219 ,1 ,139 ,55 ,31 ,45 ,8 ,261 ,106 ,66 ,29 ,60 ,"284,792 ","151,429 ","92,359 ","34,837 ","6,167 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,100 ",246 ,480 ,352 ,22 ,"67,052 ","31,100 ","28,426 ","7,525 ",1 ,"56,318 ","24,539 ","25,725 ","6,053 ",1 ,"9,452 ","5,986 ","2,230 ","1,236 ",0 ,865 ,418 ,312 ,135 ,0 ,417 ,157 ,159 ,101 ,0 ,"3,280 ","2,049 ",594 ,561 ,76 ,"2,104 ","1,457 ",285 ,308 ,54 ,"1,176 ",592 ,309 ,253 ,22 ,"12,629 ","4,317 ","3,250 ","1,823 ","3,239 ","10,125 ","3,243 ","2,318 ","1,334 ","3,230 ","2,301 ","1,026 ",862 ,413 ,0 ,203 ,48 ,70 ,76 ,9 ,358 ,213 ,69 ,30 ,46 ,"325,185 ","165,303 ","103,320 ","48,712 ","7,850 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
