Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Asia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Hong Kong(ＵＫ）,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Asia Total,,,,,Korea,,,,,China,,,,,Taiwan,,,,,Hong Kong,,,,,Thailand,,,,,Singapore,,,,,Malaysia,,,,,Indonesia,,,,,Philippines,,,,,Vietnam,,,,,India,,,,,Middle East,★new category from Feb 2020,,,,Israel,,,,,Turkey,,,,,Gulf Cooperation Council,,★new category from Feb 2020,,,Macau,★new category from Jan 2016,,,,Mongolia,★new category from Jan 2016,,,,Asia Unclassified,,,,,,Hong Kong residents with British National Overseas passport,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,issues by the former Hong Kong Government,,,,,,,,,,,,,,,,,,,,
,Nov．,"196,937 ","112,083 ","58,288 ","20,253 ","6,313 ","78,372 ","42,493 ","30,292 ","4,900 ",687 ,"21,915 ","3,234 ","6,928 ","7,990 ","3,763 ","54,077 ","46,691 ","6,087 ","1,299 ",0 ,"10,270 ","7,059 ","2,678 ",225 ,308 ,"5,097 ","1,746 ","2,475 ",494 ,382 ,"4,783 ","2,288 ","2,205 ",289 ,1 ,"6,558 ","4,694 ","1,802 ",62 ,0 ,"3,255 ",948 ,"1,287 ",797 ,223 ,"5,964 ","1,242 ","1,180 ","2,880 ",662 ,,,,,,"2,563 ",502 ,"1,398 ",497 ,166 ,,,,,,649 ,254 ,343 ,52 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,434 ",932 ,"1,613 ",768 ,121 ,,"8,822 ","6,220 ","2,235 ",125 ,242 ,,,,,,,,,,,,,,,,
,Dec．,"181,202 ","112,023 ","43,630 ","17,640 ","7,909 ","78,394 ","48,171 ","24,634 ","4,489 ","1,100 ","16,879 ","2,186 ","4,999 ","5,816 ","3,878 ","40,947 ","34,488 ","5,298 ","1,161 ",0 ,"13,118 ","10,730 ","1,674 ",177 ,537 ,"4,002 ","2,095 ","1,167 ",346 ,394 ,"5,449 ","3,910 ","1,237 ",290 ,12 ,"7,258 ","6,080 ","1,084 ",94 ,0 ,"3,796 ","1,574 ",643 ,447 ,"1,132 ","5,936 ","1,270 ",700 ,"3,560 ",406 ,,,,,,"1,953 ",343 ,999 ,400 ,211 ,,,,,,461 ,192 ,227 ,42 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,009 ",984 ,968 ,818 ,239 ,,11494,9587,1399,105,403,,,,,,,,,,,,,,,,
,1997　Jan．,"194,791 ","106,009 ","43,884 ","36,402 ","8,496 ","99,749 ","63,078 ","23,350 ","10,240 ","3,081 ","23,402 ","1,592 ","4,466 ","14,300 ","3,044 ","37,456 ","28,869 ","5,412 ","3,175 ",0 ,"10,300 ","7,252 ","2,168 ",459 ,421 ,"3,518 ",774 ,"1,409 ",895 ,440 ,"2,965 ",980 ,"1,323 ",653 ,9 ,"2,634 ","1,102 ","1,351 ",181 ,0 ,"2,889 ",508 ,720 ,"1,065 ",596 ,"5,709 ",860 ,929 ,"3,379 ",541 ,,,,,,"2,501 ",261 ,"1,369 ",725 ,146 ,,,,,,471 ,115 ,304 ,52 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,197 ",618 ,"1,083 ","1,278 ",218 ,,9229,6638,1883,332,376,,,,,,,,,,,,,,,,
,Feb．,"215,918 ","142,306 ","42,403 ","24,315 ","6,894 ","76,157 ","45,225 ","23,908 ","5,563 ","1,461 ","17,981 ","1,467 ","3,690 ","10,426 ","2,398 ","69,155 ","62,532 ","4,565 ","2,058 ",0 ,"23,921 ","21,185 ","1,981 ",372 ,383 ,"4,891 ","2,296 ","1,773 ",509 ,313 ,"4,573 ","2,781 ","1,278 ",475 ,39 ,"4,416 ","3,160 ","1,147 ",108 ,1 ,"5,183 ","1,628 ",768 ,"1,091 ","1,696 ","4,546 ",975 ,811 ,"2,453 ",307 ,,,,,,"1,702 ",217 ,"1,034 ",335 ,116 ,,,,,,449 ,137 ,280 ,32 ,0 ,,,,,,,,,,,,,,,,,,,,,"2,944 ",703 ,"1,168 ",893 ,180 ,,"21,266 ","19,036 ","1,699 ",203 ,328 ,,,,,,,,,,,,,,,,
,Mar．,"222,846 ","132,504 ","53,778 ","31,366 ","5,198 ","79,014 ","40,207 ","28,366 ","9,540 ",901 ,"21,737 ","2,650 ","5,364 ","11,291 ","2,432 ","68,297 ","59,136 ","5,824 ","3,337 ",0 ,"23,606 ","20,234 ","2,594 ",426 ,352 ,"5,617 ","2,288 ","2,309 ",770 ,250 ,"4,860 ","1,643 ","2,085 ","1,125 ",7 ,"4,254 ","2,331 ","1,786 ",137 ,0 ,"3,067 ",963 ,"1,093 ",711 ,300 ,"5,955 ","1,585 ","1,228 ","2,463 ",679 ,,,,,,"2,308 ",386 ,"1,338 ",483 ,101 ,,,,,,649 ,255 ,342 ,52 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,482 ",826 ,"1,449 ","1,031 ",176 ,,"21,063 ","18,209 ","2,278 ",273 ,303 ,,,,,,,,,,,,,,,,
,Apr．,"235,662 ","148,698 ","52,522 ","29,246 ","5,196 ","82,028 ","46,012 ","27,809 ","7,552 ",655 ,"21,289 ","2,675 ","5,792 ","10,510 ","2,312 ","75,593 ","67,127 ","5,734 ","2,732 ",0 ,"16,588 ","13,493 ","2,313 ",452 ,330 ,"11,096 ","7,577 ","2,119 ",803 ,597 ,"5,263 ","2,500 ","2,015 ",729 ,19 ,"6,220 ","4,375 ","1,705 ",140 ,0 ,"3,769 ","1,148 ",941 ,"1,134 ",546 ,"6,803 ","1,856 ","1,098 ","3,482 ",367 ,,,,,,"2,407 ",571 ,"1,283 ",475 ,78 ,,,,,,609 ,305 ,253 ,51 ,0 ,,,,,,,,,,,,,,,,,,,,,"3,997 ","1,059 ","1,460 ","1,186 ",292 ,,"14,450 ","11,878 ","2,006 ",312 ,254 ,,,,,,,,,,,,,,,,
,May．,"224,412 ","138,199 ","53,986 ","24,927 ","7,300 ","80,260 ","46,758 ","26,853 ","5,659 ",990 ,"22,495 ","2,614 ","6,614 ","10,076 ","3,191 ","66,894 ","59,279 ","6,033 ","1,582 ",0 ,"18,183 ","14,887 ","2,593 ",252 ,451 ,"6,729 ","3,278 ","2,219 ",663 ,569 ,"5,873 ","3,342 ","2,037 ",478 ,16 ,"4,751 ","2,825 ","1,812 ",111 ,3 ,"3,509 ","1,004 ","1,094 ","1,004 ",407 ,"7,890 ","2,112 ","1,268 ","3,257 ","1,253 ",,,,,,"3,035 ",780 ,"1,486 ",586 ,183 ,,,,,,669 ,267 ,342 ,60 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,124 ","1,053 ","1,635 ","1,199 ",237 ,,"15,869 ","13,092 ","2,254 ",155 ,368 ,,,,,,,,,,,,,,,,
,Jun．,"227,630 ","144,034 ","53,911 ","21,099 ","8,586 ","77,420 ","42,544 ","28,376 ","4,663 ","1,837 ","19,179 ","2,334 ","5,605 ","7,402 ","3,838 ","71,733 ","64,609 ","5,852 ","1,269 ",3 ,"22,313 ","19,471 ","2,226 ",221 ,395 ,"4,217 ","1,357 ","2,035 ",464 ,361 ,"4,291 ","1,848 ","2,091 ",341 ,11 ,"7,932 ","6,059 ","1,777 ",93 ,3 ,"5,404 ","2,023 ","1,169 ","1,109 ","1,103 ","7,473 ","1,570 ","1,300 ","3,956 ",647 ,,,,,,"2,926 ",734 ,"1,478 ",486 ,228 ,,,,,,689 ,313 ,345 ,31 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,053 ","1,172 ","1,657 ","1,064 ",160 ,,"19,998 ","17,602 ","1,921 ",145 ,330 ,,,,,,,,,,,,,,,,
,Jul．,"280,483 ","198,105 ","50,592 ","22,508 ","9,278 ","98,602 ","64,169 ","26,562 ","4,835 ","3,036 ","20,884 ","3,943 ","5,256 ","8,358 ","3,327 ","102,683 ","95,774 ","5,591 ","1,318 ",0 ,"26,245 ","23,150 ","2,189 ",337 ,569 ,"3,683 ","1,453 ","1,418 ",498 ,314 ,"3,790 ","1,438 ","2,015 ",332 ,5 ,"3,416 ","1,697 ","1,626 ",93 ,0 ,"5,895 ","2,380 ","1,215 ","1,035 ","1,265 ","7,410 ","1,571 ","1,222 ","4,294 ",323 ,,,,,,"2,904 ",637 ,"1,593 ",483 ,191 ,,,,,,725 ,383 ,295 ,47 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,246 ","1,510 ","1,610 ",878 ,248 ,,"23,390 ","20,841 ","1,865 ",206 ,478 ,,,,,,,,,,,,,,,,
,Aug．,"276,612 ","187,504 ","42,273 ","37,366 ","9,469 ","112,517 ","76,104 ","21,979 ","10,521 ","3,913 ","23,896 ","3,350 ","4,572 ","13,044 ","2,930 ","76,067 ","67,890 ","4,648 ","3,529 ",0 ,"34,439 ","30,992 ","1,938 ",508 ,"1,001 ","3,529 ","1,140 ","1,146 ",940 ,303 ,"3,637 ","1,246 ","1,611 ",772 ,8 ,"3,238 ","1,485 ","1,541 ",211 ,1 ,"3,721 ","1,300 ",837 ,"1,124 ",460 ,"7,007 ","1,488 ","1,000 ","4,107 ",412 ,,,,,,"2,971 ",733 ,"1,339 ",721 ,178 ,,,,,,815 ,419 ,315 ,81 ,0 ,,,,,,,,,,,,,,,,,,,,,"4,775 ","1,357 ","1,347 ","1,808 ",263 ,,"30,928 ","28,025 ","1,697 ",360 ,846 ,,,,,,,,,,,,,,,,
