Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Asia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Hong Kong(ＵＫ）,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Asia Total,,,,,Korea,,,,,China,,,,,Taiwan,,,,,Hong Kong,,,,,Thailand,,,,,Singapore,,,,,Malaysia,,,,,Indonesia,,,,,Philippines,,,,,Vietnam,,,,,India,,,,,Middle East,★new category from Feb 2020,,,,Israel,,,,,Turkey,,,,,Gulf Cooperation Council,,★new category from Feb 2020,,,Macau,★new category from Jan 2016,,,,Mongolia,★new category from Jan 2016,,,,Asia Unclassified,,,,,,Hong Kong residents with British National Overseas passport,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,issues by the former Hong Kong Government,,,,,,,,,,,,,,,,,,,,
,Apr．,"959,222 ","808,100 ","81,567 ","69,555 ",0 ,"193,998 ","153,985 ","29,381 ","10,632 ",0 ,"190,558 ","136,865 ","22,175 ","31,518 ",0 ,"257,894 ","245,040 ","9,302 ","3,552 ",0 ,"79,357 ","76,135 ","2,748 ",474 ,0 ,"99,396 ","94,997 ","2,373 ","2,026 ",0 ,"18,662 ","15,636 ","2,798 ",228 ,0 ,"25,166 ","22,095 ","2,213 ",858 ,0 ,"16,946 ","13,794 ","1,528 ","1,624 ",0 ,"29,721 ","25,713 ","1,753 ","2,255 ",0 ,"17,889 ","7,286 ","2,046 ","8,557 ",0 ,"7,440 ","3,140 ","2,820 ","1,480 ",0 ,,,,,,"3,469 ","3,144 ",277 ,48 ,0 ,"1,681 ","1,073 ",397 ,211 ,0 ,,,,,,,,,,,,,,,,"17,045 ","9,197 ","1,756 ","6,092 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,May．,"884,969 ","744,660 ","80,059 ","60,250 ",0 ,"195,263 ","157,902 ","25,941 ","11,420 ",0 ,"165,784 ","114,860 ","22,410 ","28,514 ",0 ,"281,997 ","269,680 ","9,200 ","3,117 ",0 ,"70,804 ","67,557 ","2,875 ",372 ,0 ,"62,254 ","57,639 ","3,013 ","1,602 ",0 ,"18,256 ","15,349 ","2,616 ",291 ,0 ,"22,607 ","19,544 ","2,291 ",772 ,0 ,"14,765 ","11,934 ","1,627 ","1,204 ",0 ,"19,313 ","15,190 ","1,843 ","2,280 ",0 ,"7,897 ","2,778 ","1,514 ","3,605 ",0 ,"9,850 ","3,809 ","3,794 ","2,247 ",0 ,,,,,,"1,549 ","1,053 ",474 ,22 ,0 ,"1,107 ",628 ,350 ,129 ,0 ,,,,,,,,,,,,,,,,"13,523 ","6,737 ","2,111 ","4,675 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"850,145 ","721,927 ","80,146 ","48,072 ",0 ,"207,588 ","172,409 ","26,475 ","8,704 ",0 ,"173,046 ","129,587 ","22,108 ","21,351 ",0 ,"254,274 ","242,238 ","9,363 ","2,673 ",0 ,"78,129 ","74,786 ","3,036 ",307 ,0 ,"36,323 ","31,636 ","3,134 ","1,553 ",0 ,"23,298 ","20,392 ","2,673 ",233 ,0 ,"17,029 ","14,179 ","2,290 ",560 ,0 ,"15,658 ","12,635 ","1,647 ","1,376 ",0 ,"13,424 ","9,057 ","1,807 ","2,560 ",0 ,"8,513 ","3,220 ","1,541 ","3,752 ",0 ,"7,420 ","2,745 ","3,248 ","1,427 ",0 ,,,,,,794 ,349 ,415 ,30 ,0 ,"1,223 ",727 ,377 ,119 ,0 ,,,,,,,,,,,,,,,,"13,426 ","7,967 ","2,032 ","3,427 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,036,531 ","904,014 ","80,816 ","51,701 ",0 ,"250,741 ","214,487 ","27,527 ","8,727 ",0 ,"281,309 ","232,589 ","23,983 ","24,737 ",0 ,"279,316 ","267,494 ","9,426 ","2,396 ",0 ,"91,224 ","87,952 ","2,944 ",328 ,0 ,"42,891 ","38,632 ","2,772 ","1,487 ",0 ,"13,047 ","10,242 ","2,544 ",261 ,0 ,"16,249 ","13,798 ","1,972 ",479 ,0 ,"16,791 ","14,729 ","1,017 ","1,045 ",0 ,"11,033 ","7,480 ","1,711 ","1,842 ",0 ,"10,973 ","4,188 ","1,835 ","4,950 ",0 ,"7,239 ","2,539 ","3,241 ","1,459 ",0 ,,,,,,"1,026 ",640 ,350 ,36 ,0 ,"1,151 ",857 ,209 ,85 ,0 ,,,,,,,,,,,,,,,,"13,541 ","8,387 ","1,285 ","3,869 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"913,800 ","764,881 ","67,620 ","81,299 ",0 ,"251,428 ","214,251 ","21,319 ","15,858 ",0 ,"253,802 ","195,474 ","19,744 ","38,584 ",0 ,"229,871 ","217,217 ","7,781 ","4,873 ",0 ,"74,961 ","72,123 ","2,301 ",537 ,0 ,"29,355 ","24,813 ","2,494 ","2,048 ",0 ,"8,256 ","5,831 ","2,025 ",400 ,0 ,"9,938 ","6,551 ","2,019 ","1,368 ",0 ,"8,454 ","4,861 ","1,494 ","2,099 ",0 ,"11,517 ","7,166 ","1,604 ","2,747 ",0 ,"9,523 ","2,808 ","1,732 ","4,983 ",0 ,"7,042 ","1,822 ","2,856 ","2,364 ",0 ,,,,,,991 ,613 ,286 ,92 ,0 ,"1,247 ",753 ,259 ,235 ,0 ,,,,,,,,,,,,,,,,"17,415 ","10,598 ","1,706 ","5,111 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"875,877 ","696,215 ","83,183 ","96,479 ",0 ,"217,689 ","174,500 ","26,705 ","16,484 ",0 ,"246,105 ","172,693 ","24,240 ","49,172 ",0 ,"220,797 ","206,007 ","9,436 ","5,354 ",0 ,"69,872 ","66,085 ","3,047 ",740 ,0 ,"31,058 ","24,978 ","3,184 ","2,896 ",0 ,"14,132 ","11,059 ","2,663 ",410 ,0 ,"16,083 ","12,060 ","2,242 ","1,781 ",0 ,"10,834 ","6,011 ","1,807 ","3,016 ",0 ,"12,663 ","8,520 ","1,937 ","2,206 ",0 ,"10,665 ","2,390 ","1,772 ","6,503 ",0 ,"7,640 ","2,519 ","3,309 ","1,812 ",0 ,,,,,,"1,691 ","1,213 ",413 ,65 ,0 ,"1,153 ",579 ,368 ,206 ,0 ,,,,,,,,,,,,,,,,"15,495 ","7,601 ","2,060 ","5,834 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,011,094 ","846,627 ","96,479 ","67,988 ",0 ,"249,577 ","207,463 ","31,900 ","10,214 ",0 ,"223,214 ","165,758 ","26,361 ","31,095 ",0 ,"260,398 ","245,485 ","11,766 ","3,147 ",0 ,"77,347 ","73,574 ","3,310 ",463 ,0 ,"79,388 ","73,934 ","3,614 ","1,840 ",0 ,"20,145 ","16,823 ","3,076 ",246 ,0 ,"24,020 ","20,261 ","3,006 ",753 ,0 ,"12,182 ","8,102 ","2,207 ","1,873 ",0 ,"19,426 ","15,583 ","2,011 ","1,832 ",0 ,"15,222 ","4,305 ","2,489 ","8,428 ",0 ,"8,203 ","3,279 ","3,468 ","1,456 ",0 ,,,,,,"3,168 ","2,562 ",463 ,143 ,0 ,"1,788 ","1,098 ",472 ,218 ,0 ,,,,,,,,,,,,,,,,"17,016 ","8,400 ","2,336 ","6,280 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"955,394 ","806,945 ","96,610 ","51,839 ",0 ,"239,029 ","199,309 ","29,951 ","9,769 ",0 ,"207,462 ","157,109 ","29,018 ","21,335 ",0 ,"236,520 ","223,141 ","10,663 ","2,716 ",0 ,"85,251 ","81,584 ","3,241 ",426 ,0 ,"68,024 ","62,527 ","3,757 ","1,740 ",0 ,"26,694 ","23,393 ","3,046 ",255 ,0 ,"27,682 ","24,339 ","2,668 ",675 ,0 ,"11,433 ","7,805 ","2,289 ","1,339 ",0 ,"15,950 ","11,939 ","2,057 ","1,954 ",0 ,"10,370 ","3,985 ","2,315 ","4,070 ",0 ,"8,325 ","2,542 ","4,144 ","1,639 ",0 ,,,,,,"1,554 ",944 ,576 ,34 ,0 ,"1,325 ",658 ,516 ,151 ,0 ,,,,,,,,,,,,,,,,"15,775 ","7,670 ","2,369 ","5,736 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,019,455 ","904,286 ","71,589 ","43,580 ",0 ,"270,903 ","236,166 ","25,863 ","8,874 ",0 ,"189,973 ","151,518 ","20,665 ","17,790 ",0 ,"211,986 ","200,451 ","8,826 ","2,709 ",0 ,"106,236 ","103,333 ","2,529 ",374 ,0 ,"76,264 ","72,853 ","2,170 ","1,241 ",0 ,"47,836 ","45,709 ","1,888 ",239 ,0 ,"39,305 ","37,089 ","1,687 ",529 ,0 ,"23,718 ","21,277 ","1,217 ","1,224 ",0 ,"21,793 ","18,744 ","1,198 ","1,851 ",0 ,"7,943 ","2,963 ","1,223 ","3,757 ",0 ,"6,047 ","2,266 ","2,412 ","1,369 ",0 ,,,,,,607 ,284 ,294 ,29 ,0 ,928 ,581 ,264 ,83 ,0 ,,,,,,,,,,,,,,,,"15,916 ","11,052 ","1,353 ","3,511 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,2015　Jan．,"1,018,348 ","845,575 ","80,858 ","91,915 ",0 ,"358,093 ","313,157 ","29,017 ","15,919 ",0 ,"226,214 ","161,873 ","22,423 ","41,918 ",0 ,"217,035 ","202,019 ","9,471 ","5,545 ",0 ,"87,742 ","84,218 ","2,856 ",668 ,0 ,"44,770 ","40,067 ","2,469 ","2,234 ",0 ,"11,813 ","9,152 ","2,282 ",379 ,0 ,"12,312 ","9,337 ","1,935 ","1,040 ",0 ,"9,683 ","6,686 ","1,200 ","1,797 ",0 ,"14,428 ","8,109 ","1,930 ","4,389 ",0 ,"12,266 ","2,029 ","1,597 ","8,640 ",0 ,"7,771 ","1,214 ","3,135 ","3,422 ",0 ,,,,,,671 ,208 ,409 ,54 ,0 ,924 ,517 ,235 ,172 ,0 ,,,,,,"3,313 ","3,265 ",31 ,17 ,0 ,"1,740 ",962 ,286 ,492 ,0 ,"9,573 ","2,762 ","1,582 ","5,229 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,200,651 ","1,076,219 ","69,649 ","54,783 ",0 ,"321,576 ","287,204 ","25,036 ","9,336 ",0 ,"359,080 ","313,728 ","19,668 ","25,684 ",0 ,"277,626 ","267,299 ","7,053 ","3,274 ",0 ,"109,384 ","106,548 ","2,401 ",435 ,0 ,"44,038 ","40,240 ","2,454 ","1,344 ",0 ,"16,293 ","13,882 ","2,105 ",306 ,0 ,"19,269 ","16,968 ","1,615 ",686 ,0 ,"8,094 ","5,745 ","1,182 ","1,167 ",0 ,"14,190 ","10,756 ","1,636 ","1,798 ",0 ,"9,489 ","3,340 ","1,066 ","5,083 ",0 ,"5,982 ","1,517 ","2,960 ","1,505 ",0 ,,,,,,722 ,342 ,356 ,24 ,0 ,955 ,511 ,344 ,100 ,0 ,,,,,,"5,093 ","5,051 ",30 ,12 ,0 ,"1,467 ",888 ,270 ,309 ,0 ,"7,393 ","2,200 ","1,473 ","3,720 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,243,295 ","1,030,970 ","94,570 ","117,755 ",0 ,"268,156 ","220,570 ","30,114 ","17,472 ",0 ,"338,121 ","246,011 ","28,153 ","63,957 ",0 ,"277,934 ","260,739 ","10,949 ","6,246 ",0 ,"117,223 ","112,783 ","3,520 ",920 ,0 ,"92,438 ","85,818 ","3,705 ","2,915 ",0 ,"23,147 ","19,461 ","3,220 ",466 ,0 ,"28,193 ","23,689 ","2,612 ","1,892 ",0 ,"19,542 ","15,507 ","1,707 ","2,328 ",0 ,"26,786 ","22,127 ","2,050 ","2,609 ",0 ,"18,736 ","6,080 ","1,932 ","10,724 ",0 ,"8,228 ","2,958 ","3,438 ","1,832 ",0 ,,,,,,"3,068 ","2,621 ",395 ,52 ,0 ,"1,866 ","1,022 ",594 ,250 ,0 ,,,,,,"5,601 ","5,481 ",62 ,58 ,0 ,"1,779 ",920 ,259 ,600 ,0 ,"12,477 ","5,183 ","1,860 ","5,434 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,463,927 ","1,289,815 ","91,232 ","82,880 ",0 ,"304,619 ","263,586 ","30,577 ","10,456 ",0 ,"405,731 ","342,726 ","28,436 ","34,569 ",0 ,"335,140 ","320,604 ","10,288 ","4,248 ",0 ,"119,602 ","116,040 ","3,002 ",560 ,0 ,"117,930 ","113,365 ","2,338 ","2,227 ",0 ,"24,833 ","21,773 ","2,807 ",253 ,0 ,"29,556 ","26,348 ","2,342 ",866 ,0 ,"23,364 ","20,064 ","1,399 ","1,901 ",0 ,"36,673 ","31,974 ","1,856 ","2,843 ",0 ,"28,510 ","11,370 ","2,237 ","14,903 ",0 ,"9,204 ","4,114 ","3,453 ","1,637 ",0 ,,,,,,"4,469 ","4,087 ",330 ,52 ,0 ,"1,822 ","1,377 ",332 ,113 ,0 ,,,,,,"5,435 ","5,354 ",54 ,27 ,0 ,"1,582 ",924 ,239 ,419 ,0 ,"15,457 ","6,109 ","1,542 ","7,806 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,384,930 ","1,222,377 ","91,173 ","71,380 ",0 ,"315,389 ","275,984 ","26,828 ","12,577 ",0 ,"387,170 ","325,335 ","29,320 ","32,515 ",0 ,"339,677 ","325,269 ","10,466 ","3,942 ",0 ,"120,626 ","116,963 ","3,168 ",495 ,0 ,"81,015 ","76,062 ","3,081 ","1,872 ",0 ,"24,593 ","21,346 ","2,922 ",325 ,0 ,"25,797 ","22,289 ","2,618 ",890 ,0 ,"18,859 ","15,806 ","1,678 ","1,375 ",0 ,"27,847 ","22,904 ","2,208 ","2,735 ",0 ,"12,319 ","4,554 ","1,923 ","5,842 ",0 ,"11,328 ","4,584 ","3,848 ","2,896 ",0 ,,,,,,"1,693 ","1,178 ",461 ,54 ,0 ,"1,617 ",928 ,512 ,177 ,0 ,,,,,,"5,129 ","5,071 ",46 ,12 ,0 ,"1,355 ",779 ,286 ,290 ,0 ,"10,516 ","3,325 ","1,808 ","5,383 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"1,363,207 ","1,221,664 ","89,089 ","52,454 ",0 ,"251,504 ","216,576 ","27,005 ","7,923 ",0 ,"462,248 ","411,287 ","29,195 ","21,766 ",0 ,"345,243 ","331,566 ","10,536 ","3,141 ",0 ,"137,014 ","133,416 ","3,252 ",346 ,0 ,"43,390 ","39,104 ","2,754 ","1,532 ",0 ,"29,167 ","26,066 ","2,864 ",237 ,0 ,"18,525 ","15,694 ","2,275 ",556 ,0 ,"17,119 ","13,814 ","1,574 ","1,731 ",0 ,"18,619 ","13,979 ","1,851 ","2,789 ",0 ,"13,043 ","4,966 ","1,836 ","6,241 ",0 ,"8,588 ","3,735 ","3,306 ","1,547 ",0 ,,,,,,"1,019 ",512 ,473 ,34 ,0 ,"1,304 ",685 ,438 ,181 ,0 ,,,,,,"6,720 ","6,635 ",70 ,15 ,0 ,"1,602 ",990 ,296 ,316 ,0 ,"8,102 ","2,639 ","1,364 ","4,099 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,620,334 ","1,471,641 ","89,740 ","58,953 ",0 ,"343,799 ","307,651 ","27,517 ","8,631 ",0 ,"576,868 ","519,783 ","30,613 ","26,472 ",0 ,"361,683 ","348,487 ","10,056 ","3,140 ",0 ,"158,712 ","155,323 ","3,053 ",336 ,0 ,"51,852 ","47,275 ","2,991 ","1,586 ",0 ,"17,194 ","14,358 ","2,595 ",241 ,0 ,"19,954 ","17,216 ","2,022 ",716 ,0 ,"25,528 ","22,920 ","1,229 ","1,379 ",0 ,"16,374 ","12,013 ","1,883 ","2,478 ",0 ,"15,366 ","5,901 ","2,116 ","7,349 ",0 ,"8,294 ","3,586 ","3,242 ","1,466 ",0 ,,,,,,"1,267 ",803 ,423 ,41 ,0 ,"1,453 ","1,005 ",333 ,115 ,0 ,,,,,,"8,738 ","8,666 ",61 ,11 ,0 ,"1,608 ","1,077 ",170 ,361 ,0 ,"11,644 ","5,577 ","1,436 ","4,631 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,570,066 ","1,401,069 ","77,690 ","91,307 ",0 ,"390,971 ","353,053 ","22,414 ","15,504 ",0 ,"591,510 ","521,018 ","27,819 ","42,673 ",0 ,"313,929 ","299,924 ","8,261 ","5,744 ",0 ,"141,466 ","138,122 ","2,622 ",722 ,0 ,"31,289 ","26,738 ","2,314 ","2,237 ",0 ,"12,616 ","10,004 ","2,113 ",499 ,0 ,"12,301 ","9,162 ","1,858 ","1,281 ",0 ,"9,777 ","6,171 ","1,219 ","2,387 ",0 ,"14,794 ","9,850 ","1,674 ","3,270 ",0 ,"13,770 ","3,918 ","1,796 ","8,056 ",0 ,"8,680 ","2,889 ","3,196 ","2,595 ",0 ,,,,,,"1,125 ",739 ,309 ,77 ,0 ,"1,414 ",815 ,340 ,259 ,0 ,,,,,,"13,381 ","13,302 ",46 ,33 ,0 ,"1,821 ",840 ,169 ,812 ,0 ,"11,222 ","4,524 ","1,540 ","5,158 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"1,362,193 ","1,168,504 ","86,075 ","107,614 ",0 ,"301,645 ","258,481 ","25,907 ","17,257 ",0 ,"491,201 ","410,299 ","27,629 ","53,273 ",0 ,"302,897 ","286,407 ","9,807 ","6,683 ",0 ,"115,242 ","111,284 ","3,054 ",904 ,0 ,"34,385 ","28,429 ","2,984 ","2,972 ",0 ,"18,716 ","15,637 ","2,627 ",452 ,0 ,"21,307 ","17,229 ","2,157 ","1,921 ",0 ,"12,855 ","7,868 ","1,749 ","3,238 ",0 ,"15,843 ","11,305 ","2,115 ","2,423 ",0 ,"15,569 ","4,109 ","1,891 ","9,569 ",0 ,"9,098 ","3,388 ","3,601 ","2,109 ",0 ,,,,,,"3,298 ","2,962 ",266 ,70 ,0 ,"1,752 ","1,113 ",361 ,278 ,0 ,,,,,,"5,751 ","5,643 ",53 ,55 ,0 ,"1,816 ",710 ,233 ,873 ,0 ,"10,818 ","3,640 ","1,641 ","5,537 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,527,602 ","1,343,297 ","103,267 ","81,038 ",0 ,"370,842 ","328,053 ","31,899 ","10,890 ",0 ,"445,562 ","378,527 ","31,890 ","35,145 ",0 ,"343,601 ","327,963 ","11,109 ","4,529 ",0 ,"129,080 ","125,002 ","3,498 ",580 ,0 ,"86,001 ","80,375 ","3,626 ","2,000 ",0 ,"25,205 ","21,664 ","3,279 ",262 ,0 ,"28,488 ","24,953 ","2,799 ",736 ,0 ,"16,753 ","12,343 ","2,134 ","2,276 ",0 ,"25,685 ","20,437 ","2,391 ","2,857 ",0 ,"21,391 ","6,466 ","2,709 ","12,216 ",0 ,"9,719 ","4,041 ","4,197 ","1,481 ",0 ,,,,,,"2,118 ","1,463 ",587 ,68 ,0 ,"1,515 ",668 ,595 ,252 ,0 ,,,,,,"6,208 ","6,120 ",56 ,32 ,0 ,"1,774 ",915 ,318 ,541 ,0 ,"13,660 ","4,307 ","2,180 ","7,173 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,390,779 ","1,223,998 ","108,050 ","58,731 ",0 ,"359,845 ","316,892 ","32,370 ","10,583 ",0 ,"362,950 ","304,281 ","34,824 ","23,845 ",0 ,"296,499 ","281,717 ","11,381 ","3,401 ",0 ,"130,776 ","126,683 ","3,592 ",501 ,0 ,"76,145 ","70,403 ","3,796 ","1,946 ",0 ,"38,205 ","34,396 ","3,515 ",294 ,0 ,"39,481 ","35,864 ","2,972 ",645 ,0 ,"14,197 ","10,397 ","2,330 ","1,470 ",0 ,"24,443 ","19,886 ","2,462 ","2,095 ",0 ,"14,592 ","5,532 ","2,877 ","6,183 ",0 ,"9,507 ","3,749 ","4,030 ","1,728 ",0 ,,,,,,"1,672 ","1,093 ",534 ,45 ,0 ,"1,595 ",836 ,618 ,141 ,0 ,,,,,,"7,151 ","7,058 ",71 ,22 ,0 ,"1,611 ",947 ,372 ,292 ,0 ,"12,110 ","4,264 ","2,306 ","5,540 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,500,511 ","1,372,705 ","78,257 ","49,549 ",0 ,"415,656 ","378,401 ","28,046 ","9,209 ",0 ,"347,034 ","303,052 ","24,018 ","19,964 ",0 ,"265,811 ","253,155 ","9,319 ","3,337 ",0 ,"157,425 ","154,182 ","2,778 ",465 ,0 ,"93,478 ","90,067 ","2,170 ","1,241 ",0 ,"67,001 ","64,827 ","1,907 ",267 ,0 ,"50,264 ","48,056 ","1,674 ",534 ,0 ,"29,312 ","26,719 ","1,173 ","1,420 ",0 ,"32,679 ","29,455 ","1,256 ","1,968 ",0 ,"10,344 ","3,795 ","1,551 ","4,998 ",0 ,"6,685 ","2,858 ","2,287 ","1,540 ",0 ,,,,,,806 ,451 ,309 ,46 ,0 ,"1,057 ",690 ,275 ,92 ,0 ,,,,,,"11,741 ","11,673 ",46 ,22 ,0 ,"1,735 ","1,210 ",233 ,292 ,0 ,"9,483 ","4,114 ","1,215 ","4,154 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,2016　Jan．,"1,609,529 ","1,410,617 ","89,680 ","109,232 ",,"514,889 ","467,531 ","30,248 ","17,110 ",,"475,115 ","397,107 ","27,729 ","50,279 ",,"320,963 ","303,246 ","9,989 ","7,728 ",,"125,012 ","121,213 ","3,008 ",791 ,,"61,115 ","55,701 ","2,703 ","2,711 ",,"15,086 ","12,130 ","2,527 ",429 ,,"19,843 ","16,726 ","1,961 ","1,156 ",,"13,735 ","10,152 ","1,176 ","2,407 ",,"18,848 ","11,533 ","2,432 ","4,883 ",,"14,792 ","2,202 ","1,692 ","10,898 ",,"9,637 ","2,332 ","3,592 ","3,713 ",,,,,,,871 ,343 ,428 ,100 ,,"1,192 ",711 ,311 ,170 ,,,,,,,"6,089 ","6,005 ",48 ,36 ,,"1,802 ","1,086 ",229 ,487 ,,"10,540 ","2,599 ","1,607 ","6,334 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,675,569 ","1,515,672 ","79,086 ","80,811 ",,"490,845 ","454,797 ","25,599 ","10,449 ",,"498,903 ","433,934 ","24,146 ","40,823 ",,"348,971 ","335,974 ","8,064 ","4,933 ",,"151,836 ","148,417 ","2,777 ",642 ,,"61,315 ","57,080 ","2,751 ","1,484 ",,"20,354 ","17,545 ","2,400 ",409 ,,"29,915 ","26,948 ","2,031 ",936 ,,"11,966 ","8,793 ","1,723 ","1,450 ",,"18,509 ","14,598 ","1,723 ","2,188 ",,"17,599 ","4,598 ","1,595 ","11,406 ",,"7,155 ","2,088 ","3,447 ","1,620 ",,,,,,,782 ,375 ,375 ,32 ,,"1,079 ",531 ,388 ,160 ,,,,,,,"6,515 ","6,443 ",44 ,28 ,,"1,746 ","1,109 ",299 ,338 ,,"8,079 ","2,442 ","1,724 ","3,913 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,658,047 ","1,444,032 ","97,486 ","116,529 ",,"374,057 ","324,855 ","31,369 ","17,833 ",,"498,053 ","409,977 ","29,684 ","58,392 ",,"328,400 ","309,624 ","11,345 ","7,431 ",,"160,954 ","156,539 ","3,338 ","1,077 ",,"99,692 ","93,237 ","3,359 ","3,096 ",,"32,964 ","29,594 ","2,960 ",410 ,,"38,223 ","34,027 ","2,294 ","1,902 ",,"26,828 ","21,965 ","2,231 ","2,632 ",,"37,525 ","32,738 ","1,877 ","2,910 ",,"23,211 ","9,130 ","2,315 ","11,766 ",,"9,723 ","4,211 ","3,634 ","1,878 ",,,,,,,"3,973 ","3,494 ",431 ,48 ,,"1,595 ",957 ,467 ,171 ,,,,,,,"6,774 ","6,663 ",57 ,54 ,,"1,956 ","1,061 ",259 ,636 ,,"14,119 ","5,960 ","1,866 ","6,293 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,734,776 ","1,546,959 ","94,350 ","93,467 ",,"353,660 ","313,059 ","29,045 ","11,556 ",,"514,866 ","447,781 ","30,329 ","36,756 ",,"384,165 ","368,776 ","10,423 ","4,966 ",,"127,245 ","123,430 ","3,160 ",655 ,,"130,992 ","126,162 ","2,512 ","2,318 ",,"30,576 ","27,252 ","3,052 ",272 ,,"38,038 ","34,968 ","2,137 ",933 ,,"31,169 ","26,745 ","1,971 ","2,453 ",,"41,949 ","36,825 ","1,834 ","3,290 ",,"34,134 ","13,849 ","2,702 ","17,583 ",,"11,583 ","5,800 ","3,895 ","1,888 ",,,,,,,"5,081 ","4,625 ",418 ,38 ,,"1,966 ","1,442 ",390 ,134 ,,,,,,,"6,976 ","6,875 ",58 ,43 ,,"1,839 ","1,063 ",222 ,554 ,,"20,537 ","8,307 ","2,202 ","10,028 ",0 ,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,588,223 ","1,406,682 ","94,264 ","87,277 ",,"302,088 ","261,410 ","25,798 ","14,880 ",,"507,095 ","436,244 ","31,406 ","39,445 ",,"375,475 ","359,725 ","10,268 ","5,482 ",,"140,046 ","136,204 ","3,194 ",648 ,,"84,919 ","79,321 ","3,421 ","2,177 ",,"29,250 ","25,995 ","2,879 ",376 ,,"36,560 ","33,012 ","2,586 ",962 ,,"21,053 ","16,855 ","2,263 ","1,935 ",,"36,871 ","31,267 ","2,337 ","3,267 ",,"16,377 ","5,488 ","2,339 ","8,550 ",,"13,643 ","6,241 ","4,323 ","3,079 ",,,,,,,"2,262 ","1,790 ",418 ,54 ,,"1,689 ","1,079 ",458 ,152 ,,,,,,,"6,729 ","6,628 ",71 ,30 ,,"2,004 ","1,337 ",299 ,368 ,,"12,162 ","4,086 ","2,204 ","5,872 ",0 ,,,,,,,,,,,,,,,,,,,,,,
