realtime_start,value,date,realtime_end
2019-12-06,7142,1998-01-01,2019-12-06
2019-12-06,7686,1999-01-01,2019-12-06
2019-12-06,8572,2000-01-01,2019-12-06
2019-12-06,10175,2001-01-01,2019-12-06
2019-12-06,11502,2002-01-01,2019-12-06
2019-12-06,12556,2003-01-01,2019-12-06
2019-12-06,13792,2004-01-01,2019-12-06
2019-12-06,14941,2005-01-01,2019-12-06
2019-12-06,16327,2006-01-01,2019-12-06
2019-12-06,17221,2007-01-01,2019-12-06
2019-12-06,17678,2008-01-01,2019-12-06
2019-12-06,17636,2009-01-01,2019-12-06
2019-12-06,16992,2010-01-01,2019-12-06
2019-12-06,16653,2011-01-01,2019-12-06
2019-12-06,16671,2012-01-01,2019-12-06
2019-12-06,16315,2013-01-01,2019-12-06
2019-12-06,16054,2014-01-01,2019-12-06
2019-12-06,16280,2015-01-01,2019-12-06
2019-12-06,16685,2016-01-01,2019-12-06
2019-12-06,17319,2017-01-01,2019-12-06
