realtime_start,value,date,realtime_end
2019-12-06,7416,1998-01-01,2019-12-06
2019-12-06,7596,1999-01-01,2019-12-06
2019-12-06,8245,2000-01-01,2019-12-06
2019-12-06,8637,2001-01-01,2019-12-06
2019-12-06,8174,2002-01-01,2019-12-06
2019-12-06,8912,2003-01-01,2019-12-06
2019-12-06,9720,2004-01-01,2019-12-06
2019-12-06,10491,2005-01-01,2019-12-06
2019-12-06,10816,2006-01-01,2019-12-06
2019-12-06,11890,2007-01-01,2019-12-06
2019-12-06,11599,2008-01-01,2019-12-06
2019-12-06,10234,2009-01-01,2019-12-06
2019-12-06,10205,2010-01-01,2019-12-06
2019-12-06,12400,2011-01-01,2019-12-06
2019-12-06,12597,2012-01-01,2019-12-06
2019-12-06,13524,2013-01-01,2019-12-06
2019-12-06,14694,2014-01-01,2019-12-06
2019-12-06,16252,2015-01-01,2019-12-06
2019-12-06,17144,2016-01-01,2019-12-06
2019-12-06,17945,2017-01-01,2019-12-06
