realtime_start,value,date,realtime_end
2019-12-06,21006,2003-10-01,2019-12-06
2019-12-06,27272,2004-01-01,2019-12-06
2019-12-06,23640,2004-04-01,2019-12-06
2019-12-06,19359,2004-07-01,2019-12-06
2019-12-06,20986,2004-10-01,2019-12-06
2019-12-06,30057,2005-01-01,2019-12-06
2019-12-06,25308,2005-04-01,2019-12-06
2019-12-06,20029,2005-07-01,2019-12-06
2019-12-06,21694,2005-10-01,2019-12-06
2019-12-06,31561,2006-01-01,2019-12-06
2019-12-06,26189,2006-04-01,2019-12-06
2019-12-06,21641,2006-07-01,2019-12-06
2019-12-06,24091,2006-10-01,2019-12-06
2019-12-06,32183,2007-01-01,2019-12-06
2019-12-06,29922,2007-04-01,2019-12-06
2019-12-06,24601,2007-07-01,2019-12-06
2019-12-06,27404,2007-10-01,2019-12-06
2019-12-06,35764,2008-01-01,2019-12-06
2019-12-06,31824,2008-04-01,2019-12-06
2019-12-06,25424,2008-07-01,2019-12-06
2019-12-06,26962,2008-10-01,2019-12-06
2019-12-06,34739,2009-01-01,2019-12-06
2019-12-06,31517,2009-04-01,2019-12-06
2019-12-06,25432,2009-07-01,2019-12-06
2019-12-06,26121,2009-10-01,2019-12-06
2019-12-06,35921,2010-01-01,2019-12-06
2019-12-06,30571,2010-04-01,2019-12-06
2019-12-06,24744,2010-07-01,2019-12-06
2019-12-06,24696,2010-10-01,2019-12-06
2019-12-06,34800,2011-01-01,2019-12-06
2019-12-06,31407,2011-04-01,2019-12-06
2019-12-06,26932,2011-07-01,2019-12-06
2019-12-06,27550,2011-10-01,2019-12-06
2019-12-06,38427,2012-01-01,2019-12-06
2019-12-06,34465,2012-04-01,2019-12-06
2019-12-06,28774,2012-07-01,2019-12-06
2019-12-06,28595,2012-10-01,2019-12-06
2019-12-06,39240,2013-01-01,2019-12-06
2019-12-06,36629,2013-04-01,2019-12-06
2019-12-06,30164,2013-07-01,2019-12-06
2019-12-06,30104,2013-10-01,2019-12-06
2019-12-06,41150,2014-01-01,2019-12-06
2019-12-06,38872,2014-04-01,2019-12-06
2019-12-06,32325,2014-07-01,2019-12-06
2019-12-06,32432,2014-10-01,2019-12-06
2019-12-06,43492,2015-01-01,2019-12-06
2019-12-06,41037,2015-04-01,2019-12-06
2019-12-06,36164,2015-07-01,2019-12-06
2019-12-06,35322,2015-10-01,2019-12-06
2019-12-06,48479,2016-01-01,2019-12-06
2019-12-06,44182,2016-04-01,2019-12-06
2019-12-06,37665,2016-07-01,2019-12-06
2019-12-06,36718,2016-10-01,2019-12-06
2019-12-06,51021,2017-01-01,2019-12-06
2019-12-06,46577,2017-04-01,2019-12-06
2019-12-06,37450,2017-07-01,2019-12-06
2019-12-06,37831,2017-10-01,2019-12-06
2019-12-06,52734,2018-01-01,2019-12-06
2019-12-06,46350,2018-04-01,2019-12-06
2019-12-06,39757,2018-07-01,2019-12-06
2019-12-06,39735,2018-10-01,2019-12-06
2019-12-06,54404,2019-01-01,2019-12-06
2019-12-06,47157,2019-04-01,2019-12-06
2019-12-06,41730,2019-07-01,2019-12-06
