realtime_start,value,date,realtime_end
2019-12-06,45978,1998-01-01,2019-12-06
2019-12-06,48409,1999-01-01,2019-12-06
2019-12-06,54114,2000-01-01,2019-12-06
2019-12-06,55022,2001-01-01,2019-12-06
2019-12-06,54821,2002-01-01,2019-12-06
2019-12-06,58043,2003-01-01,2019-12-06
2019-12-06,62031,2004-01-01,2019-12-06
2019-12-06,63313,2005-01-01,2019-12-06
2019-12-06,69650,2006-01-01,2019-12-06
2019-12-06,74392,2007-01-01,2019-12-06
2019-12-06,72879,2008-01-01,2019-12-06
2019-12-06,61644,2009-01-01,2019-12-06
2019-12-06,60917,2010-01-01,2019-12-06
2019-12-06,64723,2011-01-01,2019-12-06
2019-12-06,65801,2012-01-01,2019-12-06
2019-12-06,67849,2013-01-01,2019-12-06
2019-12-06,71280,2014-01-01,2019-12-06
2019-12-06,74117,2015-01-01,2019-12-06
2019-12-06,78110,2016-01-01,2019-12-06
2019-12-06,82771,2017-01-01,2019-12-06
