realtime_start,value,date,realtime_end
2019-12-06,19145,2004-01-01,2019-12-06
2019-12-06,20703,2005-01-01,2019-12-06
2019-12-06,22372,2006-01-01,2019-12-06
2019-12-06,24568,2007-01-01,2019-12-06
2019-12-06,25917,2008-01-01,2019-12-06
2019-12-06,25916,2009-01-01,2019-12-06
2019-12-06,27033,2010-01-01,2019-12-06
2019-12-06,27713,2011-01-01,2019-12-06
2019-12-06,29533,2012-01-01,2019-12-06
2019-12-06,30825,2013-01-01,2019-12-06
2019-12-06,33390,2014-01-01,2019-12-06
2019-12-06,35421,2015-01-01,2019-12-06
2019-12-06,39797,2016-01-01,2019-12-06
2019-12-06,43385,2017-01-01,2019-12-06
