realtime_start,value,date,realtime_end
2019-12-06,664,2002-01-01,2019-12-06
2019-12-06,639,2003-01-01,2019-12-06
2019-12-06,660,2004-01-01,2019-12-06
2019-12-06,703,2005-01-01,2019-12-06
2019-12-06,831,2006-01-01,2019-12-06
2019-12-06,854,2007-01-01,2019-12-06
2019-12-06,813,2008-01-01,2019-12-06
2019-12-06,755,2009-01-01,2019-12-06
2019-12-06,848,2010-01-01,2019-12-06
2019-12-06,885,2011-01-01,2019-12-06
2019-12-06,913,2012-01-01,2019-12-06
2019-12-06,951,2013-01-01,2019-12-06
2019-12-06,1002,2014-01-01,2019-12-06
2019-12-06,1086,2015-01-01,2019-12-06
2019-12-06,1097,2016-01-01,2019-12-06
2019-12-06,1073,2017-01-01,2019-12-06
