realtime_start,value,date,realtime_end
2019-12-06,95365,1998-01-01,2019-12-06
2019-12-06,115033,1999-01-01,2019-12-06
2019-12-06,144631,2000-01-01,2019-12-06
2019-12-06,120048,2001-01-01,2019-12-06
2019-12-06,107199,2002-01-01,2019-12-06
2019-12-06,112933,2003-01-01,2019-12-06
2019-12-06,120301,2004-01-01,2019-12-06
2019-12-06,131833,2005-01-01,2019-12-06
2019-12-06,154984,2006-01-01,2019-12-06
2019-12-06,155797,2007-01-01,2019-12-06
2019-12-06,68220,2008-01-01,2019-12-06
2019-12-06,115819,2009-01-01,2019-12-06
2019-12-06,114760,2010-01-01,2019-12-06
2019-12-06,118307,2011-01-01,2019-12-06
2019-12-06,120383,2012-01-01,2019-12-06
2019-12-06,126858,2013-01-01,2019-12-06
2019-12-06,136522,2014-01-01,2019-12-06
2019-12-06,135640,2015-01-01,2019-12-06
2019-12-06,137023,2016-01-01,2019-12-06
2019-12-06,146719,2017-01-01,2019-12-06
