realtime_start,value,date,realtime_end
2019-12-06,12868,2003-10-01,2019-12-06
2019-12-06,11594,2004-01-01,2019-12-06
2019-12-06,13569,2004-04-01,2019-12-06
2019-12-06,12980,2004-07-01,2019-12-06
2019-12-06,14273,2004-10-01,2019-12-06
2019-12-06,12620,2005-01-01,2019-12-06
2019-12-06,13332,2005-04-01,2019-12-06
2019-12-06,12323,2005-07-01,2019-12-06
2019-12-06,14377,2005-10-01,2019-12-06
2019-12-06,13563,2006-01-01,2019-12-06
2019-12-06,13973,2006-04-01,2019-12-06
2019-12-06,12917,2006-07-01,2019-12-06
2019-12-06,14951,2006-10-01,2019-12-06
2019-12-06,13376,2007-01-01,2019-12-06
2019-12-06,13970,2007-04-01,2019-12-06
2019-12-06,13146,2007-07-01,2019-12-06
2019-12-06,14501,2007-10-01,2019-12-06
2019-12-06,14085,2008-01-01,2019-12-06
2019-12-06,14428,2008-04-01,2019-12-06
2019-12-06,13986,2008-07-01,2019-12-06
2019-12-06,13620,2008-10-01,2019-12-06
2019-12-06,11704,2009-01-01,2019-12-06
2019-12-06,12355,2009-04-01,2019-12-06
2019-12-06,11887,2009-07-01,2019-12-06
2019-12-06,13861,2009-10-01,2019-12-06
2019-12-06,13641,2010-01-01,2019-12-06
2019-12-06,13397,2010-04-01,2019-12-06
2019-12-06,13075,2010-07-01,2019-12-06
2019-12-06,15752,2010-10-01,2019-12-06
2019-12-06,14033,2011-01-01,2019-12-06
2019-12-06,14165,2011-04-01,2019-12-06
2019-12-06,13412,2011-07-01,2019-12-06
2019-12-06,15788,2011-10-01,2019-12-06
2019-12-06,14989,2012-01-01,2019-12-06
2019-12-06,15223,2012-04-01,2019-12-06
2019-12-06,15822,2012-07-01,2019-12-06
2019-12-06,17092,2012-10-01,2019-12-06
2019-12-06,15202,2013-01-01,2019-12-06
2019-12-06,15549,2013-04-01,2019-12-06
2019-12-06,14857,2013-07-01,2019-12-06
2019-12-06,17400,2013-10-01,2019-12-06
2019-12-06,16836,2014-01-01,2019-12-06
2019-12-06,16263,2014-04-01,2019-12-06
2019-12-06,16331,2014-07-01,2019-12-06
2019-12-06,18889,2014-10-01,2019-12-06
2019-12-06,16604,2015-01-01,2019-12-06
2019-12-06,16579,2015-04-01,2019-12-06
2019-12-06,16529,2015-07-01,2019-12-06
2019-12-06,19819,2015-10-01,2019-12-06
2019-12-06,18058,2016-01-01,2019-12-06
2019-12-06,18340,2016-04-01,2019-12-06
2019-12-06,19251,2016-07-01,2019-12-06
2019-12-06,22070,2016-10-01,2019-12-06
2019-12-06,18861,2017-01-01,2019-12-06
2019-12-06,18967,2017-04-01,2019-12-06
2019-12-06,18085,2017-07-01,2019-12-06
2019-12-06,21639,2017-10-01,2019-12-06
2019-12-06,20031,2018-01-01,2019-12-06
2019-12-06,19913,2018-04-01,2019-12-06
2019-12-06,20506,2018-07-01,2019-12-06
2019-12-06,24240,2018-10-01,2019-12-06
2019-12-06,20794,2019-01-01,2019-12-06
2019-12-06,21419,2019-04-01,2019-12-06
