realtime_start,value,date,realtime_end
2019-12-06,6017,1998-01-01,2019-12-06
2019-12-06,6269,1999-01-01,2019-12-06
2019-12-06,6798,2000-01-01,2019-12-06
2019-12-06,6897,2001-01-01,2019-12-06
2019-12-06,7018,2002-01-01,2019-12-06
2019-12-06,7259,2003-01-01,2019-12-06
2019-12-06,7560,2004-01-01,2019-12-06
2019-12-06,8040,2005-01-01,2019-12-06
2019-12-06,8899,2006-01-01,2019-12-06
2019-12-06,9799,2007-01-01,2019-12-06
2019-12-06,9368,2008-01-01,2019-12-06
2019-12-06,6968,2009-01-01,2019-12-06
2019-12-06,6594,2010-01-01,2019-12-06
2019-12-06,7144,2011-01-01,2019-12-06
2019-12-06,7671,2012-01-01,2019-12-06
2019-12-06,8172,2013-01-01,2019-12-06
2019-12-06,9479,2014-01-01,2019-12-06
2019-12-06,10351,2015-01-01,2019-12-06
2019-12-06,10537,2016-01-01,2019-12-06
2019-12-06,10753,2017-01-01,2019-12-06
