realtime_start,value,date,realtime_end
2019-12-06,440,1998-01-01,2019-12-06
2019-12-06,467,1999-01-01,2019-12-06
2019-12-06,479,2000-01-01,2019-12-06
2019-12-06,474,2001-01-01,2019-12-06
2019-12-06,506,2002-01-01,2019-12-06
2019-12-06,496,2003-01-01,2019-12-06
2019-12-06,517,2004-01-01,2019-12-06
2019-12-06,518,2005-01-01,2019-12-06
2019-12-06,527,2006-01-01,2019-12-06
2019-12-06,568,2007-01-01,2019-12-06
2019-12-06,549,2008-01-01,2019-12-06
2019-12-06,521,2009-01-01,2019-12-06
2019-12-06,508,2010-01-01,2019-12-06
2019-12-06,510,2011-01-01,2019-12-06
2019-12-06,536,2012-01-01,2019-12-06
2019-12-06,590,2013-01-01,2019-12-06
2019-12-06,692,2014-01-01,2019-12-06
2019-12-06,748,2015-01-01,2019-12-06
2019-12-06,818,2016-01-01,2019-12-06
2019-12-06,953,2017-01-01,2019-12-06
