realtime_start,value,date,realtime_end
2019-12-06,500,1998-01-01,2019-12-06
2019-12-06,524,1999-01-01,2019-12-06
2019-12-06,629,2000-01-01,2019-12-06
2019-12-06,745,2001-01-01,2019-12-06
2019-12-06,899,2002-01-01,2019-12-06
2019-12-06,1048,2003-01-01,2019-12-06
2019-12-06,1005,2004-01-01,2019-12-06
2019-12-06,1186,2005-01-01,2019-12-06
2019-12-06,1212,2006-01-01,2019-12-06
2019-12-06,1325,2007-01-01,2019-12-06
2019-12-06,1593,2008-01-01,2019-12-06
2019-12-06,1725,2009-01-01,2019-12-06
2019-12-06,1969,2010-01-01,2019-12-06
2019-12-06,2399,2011-01-01,2019-12-06
2019-12-06,2989,2012-01-01,2019-12-06
2019-12-06,3393,2013-01-01,2019-12-06
2019-12-06,3834,2014-01-01,2019-12-06
2019-12-06,4415,2015-01-01,2019-12-06
2019-12-06,5032,2016-01-01,2019-12-06
2019-12-06,5703,2017-01-01,2019-12-06
