realtime_start,value,date,realtime_end
2019-12-06,103363,2010-01-01,2019-12-06
2019-12-06,100605,2010-04-01,2019-12-06
2019-12-06,123763,2010-07-01,2019-12-06
2019-12-06,100732,2010-10-01,2019-12-06
2019-12-06,106643,2011-01-01,2019-12-06
2019-12-06,108893,2011-04-01,2019-12-06
2019-12-06,126875,2011-07-01,2019-12-06
2019-12-06,101448,2011-10-01,2019-12-06
2019-12-06,102443,2012-01-01,2019-12-06
2019-12-06,103603,2012-04-01,2019-12-06
2019-12-06,123156,2012-07-01,2019-12-06
2019-12-06,100878,2012-10-01,2019-12-06
2019-12-06,105203,2013-01-01,2019-12-06
2019-12-06,107789,2013-04-01,2019-12-06
2019-12-06,126116,2013-07-01,2019-12-06
2019-12-06,107191,2013-10-01,2019-12-06
2019-12-06,120117,2014-01-01,2019-12-06
2019-12-06,111594,2014-04-01,2019-12-06
2019-12-06,128795,2014-07-01,2019-12-06
2019-12-06,111340,2014-10-01,2019-12-06
2019-12-06,117107,2015-01-01,2019-12-06
2019-12-06,109892,2015-04-01,2019-12-06
2019-12-06,131030,2015-07-01,2019-12-06
2019-12-06,106532,2015-10-01,2019-12-06
2019-12-06,109666,2016-01-01,2019-12-06
2019-12-06,108158,2016-04-01,2019-12-06
2019-12-06,134408,2016-07-01,2019-12-06
2019-12-06,110070,2016-10-01,2019-12-06
2019-12-06,110103,2017-01-01,2019-12-06
2019-12-06,112444,2017-04-01,2019-12-06
2019-12-06,133577,2017-07-01,2019-12-06
2019-12-06,108810,2017-10-01,2019-12-06
2019-12-06,111803,2018-01-01,2019-12-06
2019-12-06,114211,2018-04-01,2019-12-06
2019-12-06,137062,2018-07-01,2019-12-06
2019-12-06,111618,2018-10-01,2019-12-06
2019-12-06,113302,2019-01-01,2019-12-06
2019-12-06,112303,2019-04-01,2019-12-06
