realtime_start,value,date,realtime_end
2019-12-06,10181,1998-01-01,2019-12-06
2019-12-06,10286,1999-01-01,2019-12-06
2019-12-06,10279,2000-01-01,2019-12-06
2019-12-06,10882,2001-01-01,2019-12-06
2019-12-06,11049,2002-01-01,2019-12-06
2019-12-06,11926,2003-01-01,2019-12-06
2019-12-06,11509,2004-01-01,2019-12-06
2019-12-06,11830,2005-01-01,2019-12-06
2019-12-06,11959,2006-01-01,2019-12-06
2019-12-06,11943,2007-01-01,2019-12-06
2019-12-06,12337,2008-01-01,2019-12-06
2019-12-06,12146,2009-01-01,2019-12-06
2019-12-06,12512,2010-01-01,2019-12-06
2019-12-06,12829,2011-01-01,2019-12-06
2019-12-06,13004,2012-01-01,2019-12-06
2019-12-06,13542,2013-01-01,2019-12-06
2019-12-06,13733,2014-01-01,2019-12-06
2019-12-06,14476,2015-01-01,2019-12-06
2019-12-06,14790,2016-01-01,2019-12-06
2019-12-06,15085,2017-01-01,2019-12-06
