realtime_start,value,date,realtime_end
2019-12-06,7240,1998-01-01,2019-12-06
2019-12-06,7623,1999-01-01,2019-12-06
2019-12-06,7846,2000-01-01,2019-12-06
2019-12-06,7819,2001-01-01,2019-12-06
2019-12-06,7762,2002-01-01,2019-12-06
2019-12-06,7120,2003-01-01,2019-12-06
2019-12-06,7280,2004-01-01,2019-12-06
2019-12-06,7477,2005-01-01,2019-12-06
2019-12-06,7925,2006-01-01,2019-12-06
2019-12-06,8086,2007-01-01,2019-12-06
2019-12-06,7860,2008-01-01,2019-12-06
2019-12-06,7549,2009-01-01,2019-12-06
2019-12-06,7370,2010-01-01,2019-12-06
2019-12-06,7644,2011-01-01,2019-12-06
2019-12-06,7583,2012-01-01,2019-12-06
2019-12-06,7708,2013-01-01,2019-12-06
2019-12-06,7956,2014-01-01,2019-12-06
2019-12-06,7908,2015-01-01,2019-12-06
2019-12-06,7842,2016-01-01,2019-12-06
2019-12-06,8110,2017-01-01,2019-12-06
