realtime_start,value,date,realtime_end
2019-12-06,108286,1998-01-01,2019-12-06
2019-12-06,130292,1999-01-01,2019-12-06
2019-12-06,145416,2000-01-01,2019-12-06
2019-12-06,121942,2001-01-01,2019-12-06
2019-12-06,98930,2002-01-01,2019-12-06
2019-12-06,112075,2003-01-01,2019-12-06
2019-12-06,135697,2004-01-01,2019-12-06
2019-12-06,155507,2005-01-01,2019-12-06
2019-12-06,201501,2006-01-01,2019-12-06
2019-12-06,203139,2007-01-01,2019-12-06
2019-12-06,98695,2008-01-01,2019-12-06
2019-12-06,136504,2009-01-01,2019-12-06
2019-12-06,119631,2010-01-01,2019-12-06
2019-12-06,108455,2011-01-01,2019-12-06
2019-12-06,104079,2012-01-01,2019-12-06
2019-12-06,104060,2013-01-01,2019-12-06
2019-12-06,105933,2014-01-01,2019-12-06
2019-12-06,107305,2015-01-01,2019-12-06
2019-12-06,108829,2016-01-01,2019-12-06
2019-12-06,116521,2017-01-01,2019-12-06
