realtime_start,value,date,realtime_end
2019-12-06,1642,2012-07-01,2019-12-06
2019-12-06,871,2012-10-01,2019-12-06
2019-12-06,990,2013-01-01,2019-12-06
2019-12-06,1501,2013-04-01,2019-12-06
2019-12-06,1624,2013-07-01,2019-12-06
2019-12-06,827,2013-10-01,2019-12-06
2019-12-06,957,2014-01-01,2019-12-06
2019-12-06,1605,2014-04-01,2019-12-06
2019-12-06,1750,2014-07-01,2019-12-06
2019-12-06,816,2014-10-01,2019-12-06
2019-12-06,999,2015-01-01,2019-12-06
2019-12-06,1666,2015-04-01,2019-12-06
2019-12-06,1911,2015-07-01,2019-12-06
2019-12-06,837,2015-10-01,2019-12-06
2019-12-06,1080,2016-01-01,2019-12-06
2019-12-06,1790,2016-04-01,2019-12-06
2019-12-06,1961,2016-07-01,2019-12-06
2019-12-06,946,2016-10-01,2019-12-06
2019-12-06,1215,2017-01-01,2019-12-06
2019-12-06,1779,2017-04-01,2019-12-06
2019-12-06,2191,2017-07-01,2019-12-06
2019-12-06,1058,2017-10-01,2019-12-06
2019-12-06,1127,2018-01-01,2019-12-06
2019-12-06,1736,2018-04-01,2019-12-06
2019-12-06,2122,2018-07-01,2019-12-06
2019-12-06,1110,2018-10-01,2019-12-06
2019-12-06,1211,2019-01-01,2019-12-06
2019-12-06,1821,2019-04-01,2019-12-06
