realtime_start,value,date,realtime_end
2019-12-06,28816,2003-10-01,2019-12-06
2019-12-06,29343,2004-01-01,2019-12-06
2019-12-06,30931,2004-04-01,2019-12-06
2019-12-06,32563,2004-07-01,2019-12-06
2019-12-06,32779,2004-10-01,2019-12-06
2019-12-06,33078,2005-01-01,2019-12-06
2019-12-06,34682,2005-04-01,2019-12-06
2019-12-06,35758,2005-07-01,2019-12-06
2019-12-06,36403,2005-10-01,2019-12-06
2019-12-06,37242,2006-01-01,2019-12-06
2019-12-06,38408,2006-04-01,2019-12-06
2019-12-06,39832,2006-07-01,2019-12-06
2019-12-06,40532,2006-10-01,2019-12-06
2019-12-06,41131,2007-01-01,2019-12-06
2019-12-06,41927,2007-04-01,2019-12-06
2019-12-06,43327,2007-07-01,2019-12-06
2019-12-06,44199,2007-10-01,2019-12-06
2019-12-06,44333,2008-01-01,2019-12-06
2019-12-06,45201,2008-04-01,2019-12-06
2019-12-06,46341,2008-07-01,2019-12-06
2019-12-06,46706,2008-10-01,2019-12-06
2019-12-06,45979,2009-01-01,2019-12-06
2019-12-06,46551,2009-04-01,2019-12-06
2019-12-06,47489,2009-07-01,2019-12-06
2019-12-06,48023,2009-10-01,2019-12-06
2019-12-06,48463,2010-01-01,2019-12-06
2019-12-06,48946,2010-04-01,2019-12-06
2019-12-06,50675,2010-07-01,2019-12-06
2019-12-06,51151,2010-10-01,2019-12-06
2019-12-06,52202,2011-01-01,2019-12-06
2019-12-06,53160,2011-04-01,2019-12-06
2019-12-06,53843,2011-07-01,2019-12-06
2019-12-06,55156,2011-10-01,2019-12-06
2019-12-06,55011,2012-01-01,2019-12-06
2019-12-06,55385,2012-04-01,2019-12-06
2019-12-06,56171,2012-07-01,2019-12-06
2019-12-06,58830,2012-10-01,2019-12-06
2019-12-06,56037,2013-01-01,2019-12-06
2019-12-06,57216,2013-04-01,2019-12-06
2019-12-06,58687,2013-07-01,2019-12-06
2019-12-06,61183,2013-10-01,2019-12-06
2019-12-06,60735,2014-01-01,2019-12-06
2019-12-06,61430,2014-04-01,2019-12-06
2019-12-06,62436,2014-07-01,2019-12-06
2019-12-06,67165,2014-10-01,2019-12-06
2019-12-06,62459,2015-01-01,2019-12-06
2019-12-06,63077,2015-04-01,2019-12-06
2019-12-06,63368,2015-07-01,2019-12-06
2019-12-06,65502,2015-10-01,2019-12-06
2019-12-06,63156,2016-01-01,2019-12-06
2019-12-06,63722,2016-04-01,2019-12-06
2019-12-06,64979,2016-07-01,2019-12-06
2019-12-06,67464,2016-10-01,2019-12-06
2019-12-06,62751,2017-01-01,2019-12-06
2019-12-06,63455,2017-04-01,2019-12-06
2019-12-06,63791,2017-07-01,2019-12-06
2019-12-06,67848,2017-10-01,2019-12-06
2019-12-06,63812,2018-01-01,2019-12-06
2019-12-06,64740,2018-04-01,2019-12-06
2019-12-06,67127,2018-07-01,2019-12-06
2019-12-06,69563,2018-10-01,2019-12-06
2019-12-06,66215,2019-01-01,2019-12-06
2019-12-06,66109,2019-04-01,2019-12-06
2019-12-06,67277,2019-07-01,2019-12-06
