realtime_start,value,date,realtime_end
2019-12-06,15435,1998-01-01,2019-12-06
2019-12-06,16285,1999-01-01,2019-12-06
2019-12-06,16692,2000-01-01,2019-12-06
2019-12-06,16862,2001-01-01,2019-12-06
2019-12-06,17533,2002-01-01,2019-12-06
2019-12-06,17291,2003-01-01,2019-12-06
2019-12-06,18469,2004-01-01,2019-12-06
2019-12-06,19356,2005-01-01,2019-12-06
2019-12-06,20523,2006-01-01,2019-12-06
2019-12-06,21195,2007-01-01,2019-12-06
2019-12-06,21011,2008-01-01,2019-12-06
2019-12-06,20211,2009-01-01,2019-12-06
2019-12-06,19788,2010-01-01,2019-12-06
2019-12-06,19832,2011-01-01,2019-12-06
2019-12-06,20812,2012-01-01,2019-12-06
2019-12-06,20918,2013-01-01,2019-12-06
2019-12-06,21224,2014-01-01,2019-12-06
2019-12-06,21821,2015-01-01,2019-12-06
2019-12-06,22445,2016-01-01,2019-12-06
2019-12-06,22902,2017-01-01,2019-12-06
