realtime_start,value,date,realtime_end
2019-12-06,0.8,2009-04-01,2019-12-06
2019-12-06,-0.4,2009-07-01,2019-12-06
2019-12-06,-3.5,2009-10-01,2019-12-06
2019-12-06,6.0,2010-01-01,2019-12-06
2019-12-06,2.0,2010-04-01,2019-12-06
2019-12-06,-1.9,2010-07-01,2019-12-06
2019-12-06,-1.6,2010-10-01,2019-12-06
2019-12-06,2.6,2011-01-01,2019-12-06
2019-12-06,7.4,2011-04-01,2019-12-06
2019-12-06,0.5,2011-07-01,2019-12-06
2019-12-06,-1.7,2011-10-01,2019-12-06
2019-12-06,.,2012-01-01,2019-12-06
2019-12-06,7.5,2012-04-01,2019-12-06
2019-12-06,-0.3,2012-07-01,2019-12-06
2019-12-06,-6.9,2012-10-01,2019-12-06
2019-12-06,4.8,2013-01-01,2019-12-06
2019-12-06,5.3,2013-04-01,2019-12-06
2019-12-06,1.0,2013-07-01,2019-12-06
2019-12-06,-6.3,2013-10-01,2019-12-06
2019-12-06,7.7,2014-01-01,2019-12-06
2019-12-06,3.7,2014-04-01,2019-12-06
2019-12-06,0.7,2014-07-01,2019-12-06
2019-12-06,-3.9,2014-10-01,2019-12-06
2019-12-06,3.5,2015-01-01,2019-12-06
2019-12-06,5.1,2015-04-01,2019-12-06
2019-12-06,-2.0,2015-07-01,2019-12-06
2019-12-06,-2.2,2015-10-01,2019-12-06
2019-12-06,5.6,2016-01-01,2019-12-06
2019-12-06,3.3,2016-04-01,2019-12-06
2019-12-06,0.5,2016-07-01,2019-12-06
2019-12-06,-1.6,2016-10-01,2019-12-06
2019-12-06,1.4,2017-01-01,2019-12-06
2019-12-06,3.8,2017-04-01,2019-12-06
2019-12-06,-0.9,2017-07-01,2019-12-06
2019-12-06,2.4,2017-10-01,2019-12-06
2019-12-06,3.2,2018-01-01,2019-12-06
2019-12-06,.,2018-04-01,2019-12-06
2019-12-06,.,2018-07-01,2019-12-06
2019-12-06,.,2018-10-01,2019-12-06
2019-12-06,1.7,2019-01-01,2019-12-06
2019-12-06,7.7,2019-04-01,2019-12-06
