realtime_start,value,date,realtime_end
2019-12-06,124648,2012-07-01,2019-12-06
2019-12-06,127044,2012-10-01,2019-12-06
2019-12-06,119603,2013-01-01,2019-12-06
2019-12-06,132396,2013-04-01,2019-12-06
2019-12-06,135710,2013-07-01,2019-12-06
2019-12-06,135546,2013-10-01,2019-12-06
2019-12-06,129899,2014-01-01,2019-12-06
2019-12-06,141282,2014-04-01,2019-12-06
2019-12-06,146667,2014-07-01,2019-12-06
2019-12-06,146765,2014-10-01,2019-12-06
2019-12-06,137547,2015-01-01,2019-12-06
2019-12-06,153263,2015-04-01,2019-12-06
2019-12-06,156136,2015-07-01,2019-12-06
2019-12-06,155900,2015-10-01,2019-12-06
2019-12-06,147932,2016-01-01,2019-12-06
2019-12-06,160105,2016-04-01,2019-12-06
2019-12-06,162912,2016-07-01,2019-12-06
2019-12-06,163025,2016-10-01,2019-12-06
2019-12-06,155042,2017-01-01,2019-12-06
2019-12-06,167787,2017-04-01,2019-12-06
2019-12-06,169059,2017-07-01,2019-12-06
2019-12-06,171861,2017-10-01,2019-12-06
2019-12-06,160777,2018-01-01,2019-12-06
2019-12-06,174981,2018-04-01,2019-12-06
2019-12-06,182400,2018-07-01,2019-12-06
2019-12-06,184435,2018-10-01,2019-12-06
2019-12-06,169489,2019-01-01,2019-12-06
2019-12-06,187554,2019-04-01,2019-12-06
2019-12-06,195105,2019-07-01,2019-12-06
