Name,Type,Aired,Rating,Votes,Discription,Studio,Genre
Magi: The Labyrinth of Magic,TV Series,2012-2014,7.8,4700,"Aladdin, Alibaba, and Morgiana go their separate ways after spending time together in Sindria to develop their own strengths, make new friends and prepare for what is coming.","A-1 Pictures, A-1 Pictures, Aniplex",
Nichijou,TV Series,2011-2011,8.3,3400,"A group of students lead normal lives and cope with normal predicaments, but all too often find themselves in abnormal situations.",Kyoto Animation,
RIN: Daughters of Mnemosyne,TV Mini Series,2008-2008,7.1,2200,"Rin Asogi runs a private investigation agency in Tokyo's Shinjuku district, performing odd jobs. Despite attempts at a normal life, she finds herself constantly hindered by the strange cases... Read all","Genco, Xebec",
Kidô Senshi Gandamu,TV Series,1979-1980,7.9,2700,"In the war between the Earth Federation and Zeon, a young and inexperienced crew find themselves on a new spaceship. Their best hope of making it through the conflict is the Gundam, a giant ... Read all","Nagoya Broadcasting Network (Nagoya TV), Sotsu Agency, Sunrise",
Durarara!!,TV Series,2010-2010,7.8,7800,"Tired of his mundane life, Mikado Ryugamine decides to move to Ikebukuro, a district in Tokyo, when a friend invites him. With everything from invisible gangs to rumored beings, Ikebukuro is... Read all","ACSII Media Works, Aniplex, Brains Base",
Doraemon,TV Series,1979-2005,8.1,5000,Doraemon is a robotic cat that comes from the 22nd century. He comes to 20th century and stays with Nobi Family. The Nobis love Doraemon very much. So Doraemon always help the Nobis with the... Read all,"Asatsu-DK, Asatsu-DK, Fujiko Productions",
Space Dandy,TV Series,2014-2014,8.1,4600,"The cosmic and comic adventures of Space Dandy, a handsome space explorer tasked to tour the universe and discover new alien beings.","BS Fuji, Bandai Namco Games, Bandai Visual Company",
Ano Hi Mita Hana No Namae O Bokutachi Wa Mada Shiranai.,TV Mini Series,2011-2011,8.2,16000,"Five childhood companions reunite when the ghost of their dead friends appears, and demands they grant her final wish.","A-1 Pictures, Aniplex, Dentsu",
Mirai Shônen Konan,TV Series,1978-1978,8.8,4900,"Long after a devastating war almost destroyed the entire world, a boy with superhuman strength fights to save his friends from those who seek to conquer what is left of civilization.",Nippon Animation Co.,
Hokuto No Ken,TV Series,1984-1988,8.2,3500,"After a nuclear war turns Earth into a lawless wasteland, Kenshiro, a practitioner of the deadly master art ""Hokuto Shinken"", fights a succession of tyrannical warriors to restore order.","Studio Live, Toei Animation, Toei Animation",
Baccano!,TV Mini Series,2007-2008,8.2,13000,"A crazy fantasy caper involving alchemists, immortals, gangsters, outlaws and an elixir of immortality, spread over several decades.","Aniplex, Happinet(I)., Mediaworks",
Yosuga No Sora,TV Mini Series,2010-2010,6.2,1600,"After the death of their parents, Haru and his twin sister Sora move to the country.","Feel, Gansis, King Records",
Kekkai Sensen,TV Series,2015-2017,7.2,2600,"In a city where the paranormal and ordinary co-exist, the Libra organization battles to ensure peace and order.","Bones, Toho Company",
Ikki tôsen,TV Series,2003-2023,6,1300,Seven rival high schools battle each other for victory and total supremacy. The students will do what ever it takes to come out on top and see their school leading the way.,"AT-X, Arms, Bushiroad",
Basilisk: Kôga Ninpô Chô,TV Series,2005-2005,7.8,4300,"The year is 1614 AD. Two warring ninja clans, each supporting a son of Hidetada Tokugawa as the next shogun, send ten representatives each to fight to the death for the possession Tokugawa g... Read all",Gonzo Digimation,
Monogatari Series: Second Season,TV Series,2013-2013,8.6,2900,"One day, Tsubasa Hanekawa encounters a giant white tiger apparition at an intersection that talks to her. Her house burns down the next day, leaving her homeless.","Aniplex, Kôdansha, SHAFT",
Chuunibyou Demo Koi Ga Shitai!,TV Series,2012-2014,7.4,4800,"Yuuta suffered from ""chuunibyou"" while he was in middle school. When he graduated, he try to forgot about it but he accidentally got into a contract with Rikka and disrupts his desperately o... Read all","Kyoto Animation, Lantis, Pony Canyon",
Angel Beats!,TV Series,2010-2010,7.6,16000,Rebellious teens fight in armed combat against one dispassionate girl's supernatural powers in an afterlife high school.,"Aniplex, P.A. Works, ASCII Mediaworks",
Aesthetica of a Rogue Hero,TV Mini Series,2012-2012,6.9,2000,The story follows a world in which several boys and girls are regularly taken to a world of sword and magic called Alayzard.,,
Hajime No Ippo: New Challenger,TV Series,2009-2009,8.8,3200,"Ippo continues to defend his title and training to reach his goal, Ichiro Miyata. While Takamura goes for the world, and faces the world champion, Brian Hawk. In what is to become his toughe... Read all","D.N. Dream Partners, Kôdansha, Nippon Television Network (NTV)",
The Melancholy of Haruhi Suzumiya,TV Mini Series,2006-2009,7.8,9100,"The crazy adventures of the SOS Brigade, led by the insane but charismatic Haruhi.","Kadokawa Entertainment, Kadokawa Shoten Publishing Co., Kyoto Animation",
Full Metal Panic!,TV Series,2002-2006,7.6,5900,"Sousuke Sagara, a member of a covert anti-terrorist private military organization known as Mithril, tasked with protecting Kaname Chidori, a spirited Japanese high school girl.","Full Metal Panic! Film Partners, Gonzo, Jindai Kôkô Seitokai",
Trinity Seven: 7-nin No Masho Tsukai,TV Series,2014-2015,6.7,2700,"In this ""romantic comedy but sometimes serious magical school story,"" life as Arata Kasuga knows it is wiped out by a bizarre incident known as ""Collapse Phenomenon,"" which causes worldwide ... Read all","Seven Arcs, TV Tokyo",
Vanpaia Naito,TV Series,2008-2008,7.3,5700,"Yuki Cross, along with her best friend Zero, attempts to keep the peace between humans and vampires at Cross Academy, but personal issues soon threaten the situation.","Nihon Ad Systems (NAS), Studio DEEN",
The Tatami Galaxy,TV Mini Series,2010-2010,8.4,4900,"When a nameless student at Kyoto University encounters a demigod one night, he asks to relive the past three years in order to win the heart of Ms. Akashi, the object of his affection.",Madhouse,
Bakemonogatari,TV Mini Series,2009-2010,8,6500,"Third-year high school student Koyomi Araragi is human again. Cured of his vampirism, he seeks to help other supernaturals with their problems. Koyomi becomes involved in their lives, reveal... Read all","Aniplex, Kôdansha, SHAFT",
Mobile Suit Gundam 00,TV Series,2007-2009,8.1,2600,"In the distant future, mankind has used up all of its fossil fuels, forcing them to turn to Solar Power as an alternate energy source. As a result, this causes a rift to form between richer ... Read all","Asatsu-DK, Mainichi Broadcasting System (MBS), Sotsu Agency",
Danganronpa: The Animation,TV Series,2013-2013,6.8,3200,"A group of teenagers enroll in a prestigious high school, which turns out to be a devious trap designed to tempt the pupils to murder one another in order to graduate.",Geneon Universal Entertainment,
Ranma ½,TV Series,1989-1989,7.9,5500,A girl is involuntarily engaged to a boy who turns female when hit with cold water and male when hit with hot.,"Kitty Animation, Kitty Films, Shogakukan Production",
Cardcaptor Sakura,TV Series,1998-2000,8,5500,"Sakura stumbled upon the book of Clow Cards in a library. Accidentally setting the magical cards loose, it's now up to Sakura to catch them all with her best friend Tomoyo, and Kerberos, the... Read all","Clamp, Madhouse, NHK Enterprises",
Giruti Kuraun: Guilty Crown,TV Series,2011-2012,7,5600,"After the outbreak of the unidentified virus ""Lost Christmas"" in 2029, Japan has been under the control of a multi-nation organization called GHQ. Ohma Shu is a 17 year old boy who has a psy... Read all","Aniplex, Dentsu, Fuji Television Network",
Ôkami to kôshinryô,TV Series,2008-2009,7.8,4900,"Kraft Lawrence goes from town to town to make profits as a travelling merchant, with the help of a wolf deity by the name of Holo.","ASCII Mediaworks, Brains Base, Flying Dog",
Gungrave,TV Series,2003-2004,7.9,5300,Gungrave follows the story of best friends Brandon Heat and Harry MacDowell as they join and rise in the ranks of Big Daddy's Millenion crime syndicate. The story begins in the future reveal... Read all,"Flying Dog, Madhouse, Madhouse",
Girls Bravo,TV Series,2004-2005,6.5,1000,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks ... Read all","AIC Spirits, Fuji Television Network, Kadokawa Shoten Publishing Co.",
Shijou Saikyou No Deshi Kenichi,TV Series,2006-2014,8.1,2400,"""Weak Legs"" Kenichi Shirahama would rather spend his time reading self improvement books than fighting.","TMS Entertainment, Brains Base",
Natsume yûjinchô,TV Series,2008-2017,8.1,2400,When Natsume Takashi inherits a book that belonged to his late grandmother he realizes the book is filled with the names of spirits she defeated and bound to her will. He then decides to ret... Read all,"Brains Base, Shuka, Nihon Ad Systems (NAS)",
Natsume yûjinchô,TV Series,2008-2017,8.1,2400,When Natsume Takashi inherits a book that belonged to his late grandmother he realizes the book is filled with the names of spirits she defeated and bound to her will. He then decides to ret... Read all,"Brains Base, Shuka, Nihon Ad Systems (NAS)",
Shiki,TV Series,2010-2011,7.6,3900,"When many deaths occur in the quiet village of Sotoba, Doctor Toshio Ozaki initially suspects an epidemic but soon becomes convinced that something else is causing them.","Aniplex, DENTSU Music And Entertainment, Dax Production",
Ping Pong the Animation,TV Mini Series,2014-2014,8.6,4700,Five ping pong prodigies learn to navigate the harsh climate of competitive sport and the even more frightening realm of self realization.,"Aniplex, Science SARU, Tatsunoko Production",
Toraburu,TV Series,2008-2010,6.4,1600,"When an alien from the planet Deviluke runs away and goes into hiding on earth,she meets a human named Yuuki Rito. Watch as she wants to get married to him while he wants no part of it","Triple A, Xebec",
The Big O,TV Series,1999-2023,7.5,2300,"In a futuristic city with lost memories, an expert negotiator fights threats to the city with the help of an android and his own giant robot.","Animaze, Bandai Visual Company, CTV Television Network",
Shin kidô senki Gundam W,TV Series,1995-1996,8,4800,A squadron of giant robot pilots of a beleaguered Earth colony bring the war to their oppressive home planet.,"Sotsu Agency, Sunrise, TV Asahi",
Tenkû no Esukafurône,TV Series,1996-1996,7.8,4500,"Hitomi is a girl with psychic abilities who gets transported to the magical world of Gaea. She and her friends find themselves under attack from the evil Zaibach empire, and the Guymelf Esca... Read all","BEI, Bandai Visual Company, Sunrise",
Sora No Otoshimono,TV Series,2009-2010,7.2,2100,"Girl-crazy Tomoki's quiet life gets turned upside down when beautiful, winged Ikaros falls from the sky -- and starts calling him master.","AIC A.S.T.A., Kadokawa Pictures, Kadokawa Shoten Publishing Co.",
Dejimon Adobenchâ,TV Series,1999-2000,7.9,6900,"An animated series based on the popular children's toy ""Digimon"", in which kids raise and train electronic monsters to fight against those raised by other kids. The show follows the adventur... Read all","Bandai, Rai Trade, Saban Entertainment",
Shigurui,TV Series,2007-2007,7.7,2600,The series starts off at a tournament where a one armed samurai faces a blind one and quickly flashes back to reveal the history between the two fighters.,"WOWOW, Geneon Entertainment, Madhouse",
Oreimo: My Little Sister Can't Be This Cute?,TV Series,2010-2013,6.4,1700,"After years of resentment, a teenage girl begins warming up to her older brother when he discovers her secret hobbies.","ASCII Mediaworks, Aniplex, Bandai Namco Games",
Tenisu No Ôjisama,TV Series,2001-2005,7.4,917,Prince of Tennis follows the story of a 12 year old boy Ryoma Echizen who won four consecutive titles in the American Junior Tennis tournaments. He's an amazing tennis player and is consider... Read all,"J.C. Staff, Production I.G., TK Works",
Kidô senshi Z Gundam,TV Series,1985-1986,8.1,1500,"Eight years after the One Year War, the Earth Federation creates an elite force called the Titans to hunt Zeon remnants. When Titans proves to be no better than Zeon, the Anti Earth Union Gr... Read all","Sotsu Agency, Sunrise",
Seiken no burakkusumisu,TV Series,2009-2023,6.5,529,"The knight Cecily wants to defend the weak, but her lack of skill makes her an unlikely heroine - until the blacksmith Luke comes to her aid, using magic to forge blades of supernatural stre... Read all",Manglobe,
Wolf's Rain,TV Series,2003-2004,7.9,8200,"In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct.","Bandai Visual Company, Bones, Fuji Television Network",
Nisekoi,TV Series,2014-2016,7.2,4000,"The heir to a Yakuza Family is forced to be in a relationship with the daughter of the head of a gangster family to avoid a gang war, much to their chagrin.","Aniplex, Mainichi Broadcasting System (MBS), SHAFT",
K-On!,TV Series,2009-2010,7.8,4400,"K-ON is about 5 high school girls who become friends through the Light Music Club. Yui the lead guitarist, Tsumugi the keyboardist, Mio the bassist, Azusa the rhythm guitarist, and Ritsu the... Read all","Hobunsha, Kyoto Animation, Movic",
Freezing,TV Series,2011-2011,6.8,1800,"In the near future, the Earth is threatened by beings called NOVA. The only way to defeat these creatures is to use the Pandoras, genetically modified daughters, alongside the Limiters, capa... Read all","Kill Time Communication, T.O. Entertainment, A.C.G.T",
Outlaw Star,TV Series,1998-2001,7.9,4100,The adventures of an outlaw crew of an advanced starship.,"Sotsu Agency, Sunrise",
Lovely Complex,TV Series,2007-2007,7.9,3200,"Risa and Otani are always being laughed at as the comedy duo. Risa, a girl, is taller than the average girl, and Otani, a boy, is shorter than the average boy. However, Risa has feelings for... Read all","Shueisha, Toei Animation, Tokyo Broadcasting System (TBS)",
Baburugamu kuraishisu,TV Mini Series,1987-1991,7.3,1700,"A female mercenary team, armed with unique power armor suits, battle the forces of the corrupt mega-corporation, Genom in futuristic Tokyo.","Anime International Company (AIC), Artmic, Youmex",
Fruits Basket,TV Series,2001-2001,7.9,6200,"After her mother's death, Tohru Honda finds herself living with the Sohma family consisting of three cousins: Yuki, the 'prince charming' of their high school, Kyo the hot headed, short temp... Read all","Nihon Ad Systems (NAS), TV Tokyo",
City Hunter,TV Series,1987-1991,7.7,1600,"The adventures of Ryo Saeba, a gun-for-hire living in the Tokyo metropolis, who will take on any dangerous job as long as it involves beautiful women.","Aniplex, Sunrise",
Grisaia No Kajitsu,TV Series,2014-2015,7,1100,"Mihama Academy is a prison-like school. It is home to five female students who each have their own reasons. One day, Yuuji the institute's first male student arrives and throws the orderly r... Read all","8bit, AT-X, Bushiroad",
Mononoke,TV Mini Series,2007-2007,8.2,2900,"A mysterious man called the Medicine Seller travels along feudal Japan, uncovering and slaying evil spirits called ""Mononoke"".",Toei Animation,
Shaman King,TV Series,2001-2005,8,6400,"SHAMAN KING follows the adventures of a 13-year-old shaman and his teammate a samurai warrior spirit, who traverse the world fighting evil spirits and misguided shamans on their journey to b... Read all","Nihon Ad Systems (NAS), TV Tokyo, Taj Studios",
Devil May Cry,TV Mini Series,2007-2007,7,5600,"Dante, a superhuman son of a powerful murdered demon and human woman is a master of gun and sword who runs an ""odd-job"" agency. Despite financial troubles, he never loses his cool since work... Read all","Capcom Company, Media Factory, Toshiba Entertainment",
Tonari No Kaibutsu-kun,TV Mini Series,2012-2012,7.2,4900,"Shizuku, a hardworking student who isn't interested in socializing, finds an unlikely friend, Haru, an emotionally volatile boy at her school.","Aniplex, Brains Base, Kôdansha",
D.Gray-man,TV Series,2006-2008,7.7,4500,"Young Allen Walker, an exorcist, fights Akuma to save the world.",TV Tokyo,
Planetes,TV Series,2003-2004,8.1,3900,"Ai Tanabe joins the Debris Section of the Technora Corporation as they work to remove the debris left around Earth. As Ai tries to accommodate to space life, she learns more about her crew o... Read all",Sunrise,
Tenchi Muyô!,TV Series,1992-2005,7.6,2200,Every man needs a good woman. Tenchi Masaki has six.,"AIC Animate Film, Geneon Entertainment, Oniro",
Shin Sekai Yori,TV Series,2012-2013,7.9,3600,"In a post-apocalyptic world set a thousand years after our era, the remaining humans, now with telekinesis, live in a seemingly peaceful society, but dark secrets of the past will soon be di... Read all","A-1 Pictures, Pony Canyon, TV Asahi",
Mahouka Koukou No Rettousei,TV Series,2014-2020,7,4000,Siblings Miyuki and Tatsuya Shiba are turning the National Magic University Affiliated First High School campus upside down.,"Madhouse, 8-Bit, Eight Bit",
"Dakara Boku Wa, H Ga Dekinai",TV Mini Series,2012-2013,6.2,1100,"Never make a deal with a wet goddess you've only just met. That's a lesson Ryosuke Kaga learns the hard way when he foolishly agrees to let Lisara Restole use some of his ""essence"" to stay i... Read all","AT-X, Dax Production, Feel",
Arupusu no shôjo Haiji,TV Series,1974-1974,7.5,5900,"This animation series follows the childhood ""adventures"" of a girl named Heidi, who lives with her grandfather somewhere on the Alps.","Zuiyo, Fuji Television Network, Beta Film",
Rainbow: Nishakubou No Shichinin,TV Series,2010-2010,8.2,2900,"Set in 1955, the anime follows the story of seven teenagers locked in a reformatory, waiting for a ray of light in a daily hell of suffering and humiliation, focusing especially on how they ... Read all","Madhouse, Video Audio Project (VAP)",
To aru kagaku no rêrugan,TV Series,2009-2020,7.5,1900,"In Toaru Kagaku no Railgun T Mikoto Misaka and her friends prepare for the Daihasei Festival, a seven-day sports competition between different Esper schools, which, of course, also include t... Read all","Project-Railgun, Geneon Universal Entertainment, ASCII Mediaworks",
Zatch Bell!,TV Series,2003-2013,7.2,1100,Kiyo Takamine meets a momoto (demons from another world) boy zatch bell and set out to compete in the momoto games held every 1000 years to become their king.,"Fuji Television Network, ShoPro Entertainment, Toei Animation",
Lupin the 3rd,TV Series,1971-1977,7.9,2400,"The adventures of the master thief Lupin III and his cohorts as they dive into various escapades, all the while in pursuit by the tenacious Inspector Zenigata.","TMS Entertainment, Yomiuri Telecasting Corporation (YTV)",
Kyoukai No Kanata,TV Series,2013-2014,7.2,2900,High school student Mirai finds that her schoolmate Akihito is an immortal being and half a spirit. When Akihito learns that Mirai is a spirit world warrior their lives become intertwined.,Kyoto Animation,
Free!,TV Series,2013-2018,7.4,3500,"Four high school students: Haruka, Makoto, Nagisa and Rin, all took part in a swimming tournament shortly before the end of high school and then lost touch with each other. Years later, they... Read all","ABC Animation, Animation DO, Asahi Broadcasting Corporation (ABC)",
Jûbê ninpûchô: Ryûhôgyoku-hen,TV Series,2003-2003,6.8,1800,"Amid a war between two rival ninja clans, the wandering swordsman Jubei Kibagami must protect a fabled artifact known as the ""Dragon Stone"" and its young guardian.","Amuse, Filmlink International, Kitty Films",
Phantom: Requiem for the Phantom,TV Series,2009-2009,7.5,1900,"The story of two brainwashed assassins, Ein and Zwei, who struggle to regain their memories as they work for the Inferno crime syndicate.","Bee Train, Genco, Nitroplus",
Madan No Ou to Vanadis,TV Series,2014-2014,7,1500,"Tigre, a young noble, is captured by a beautiful female general from an enemy country. Though enchanting, her curves aren't the only dangerous thing about her. She's backed by an army of des... Read all",,
Fushigi no Umi no Nadia,TV Series,1990-2003,7.8,2000,A teen acrobat of mysterious origins and a young inventor find themselves entangled in a sinister plot that involves the fate of the world.,"Corad, Gainax, NHK Enterprises",
Junjou Romantica,TV Series,2008-2015,7.7,1900,"Junjo Romantica follows the relationships of 3 very different couples. Romantica, Egoist, and Terrorist are all full of romance, longing, and of course, drama. It's complicated, but so very ... Read all",Studio DEEN,
Barakamon,TV Mini Series,2014-2014,8.2,4100,"A proud young calligrapher is punished for punching a critic by being sent to a faraway island in the east coast of Japan. But as he meets and lives with the island's friendly people, his at... Read all","Kinema Citrus, Nippon Television Network (NTV), Video Audio Project (VAP)",
Strawberry Panic,TV Series,2006-2006,7.1,792,"Aoi Nagisa, a young reddish haired girl, just transfers to an all-girls, catholic school, the Starrawberry Dorms. The school is divided in to three sections (Lulim, Miator, Spica) all in whi... Read all","Dwango, Lantis, Marvelous Entertainment",
Blood+,TV Series,2005-2006,7.6,4800,"In present day Okinawa, a young amnesiac girl named Saya combats vicious, shape-shifting vampires. Her adoptive family and friends help her track down their source and uncover her past.","Aniplex, Mainichi Broadcasting System (MBS), Production I.G.",
Diamond No Ace,TV Series,2013-2016,8.2,1400,"Follows the life of Eijun Sawamura, a gifted baseball player who have his own extraordinary pitcher's talent. His goal is one, to become the ace of Seidou High School.","AT-X, Madhouse, Production I.G.",
Blast of Tempest: The Civilization Blaster,TV Series,2012-2013,7.4,1600,"Two teenage boys, Mahiro and Yoshino, try to find out more about the mysterious murder of Mahiro's sister and at the same time save the world with the help of a mage girl who's stranded on a... Read all","Aniplex, Bones, Dentsu",
Kino no tabi,TV Mini Series,2003-2003,8.3,3200,"Young world-weary sharpshooter girl Kino and her talking inquisitive motorcycle Hermes travel around her unusual world, visiting various city-states for three days each to learn about their ... Read all","A.C.G.T, Genco",
To Aru Majutsu No Indekkusu,TV Series,2008-2019,6.8,2200,Index is still a fugitive and many powerful Magical organizations and individuals want to take her to use the books in her memory eliminating her in the process. War between those organizati... Read all,"ASCII Mediaworks, AT-X, Geneon Entertainment",
Btooom!,TV Series,2012-2012,7.1,4700,"You're stuck on survival island until you gather 7 gems, and the only way to get gems is by killing other people.","Flying Dog, Madhouse, Shinchosha Company",
Majingâ Zetto,TV Series,1972-1974,7.8,1500,"Teenager Koji Kabuto pilots the amazing super-robot Mazinger Z to avenge its inventor (his grandfather) against the Mycene Empire, led by the evil mad scientist Doctor Hell.","Asatsu-DK, Dynamic Planning, Toei Animation",
Terra Formars,TV Series,2014-2016,6.4,1300,"Grotesque humanoid cockroaches kill Mars colonists, so Earth dispatches elite warriors to exterminate the mutants and reclaim the planet.",,
Astro Boy,TV Series,1963-1965,7.4,1000,"As long as trouble's brewing across the universe, the small but powerful robot, Astro Boy, will have adventures, assisted by his mentor, Dr. Elefun.","Fred Ladd Productions, Mushi Productions",
Sunabôzu,TV Series,2004-2005,7.2,1400,"In the future, Japan is a wasteland with scattered humans in the Great Kanto Desert. A short-statured man named ""Sunabozu"" makes a living as a bounty hunter, but he has a weakness for the op... Read all","Arp Japan, C&G Entertainment, Common Wealth Entertainment",
Guardian of the Sacred Spirit,TV Series,2007-2007,8.2,2900,The Second Empress hires a spear-wielding woman to save her son from the Mikado (emperor) who believes the young prince is possessed by a water demon foretold to bring a terrible drought upo... Read all,"Production I.G., Production I.G.",
Michiko to Hatchin,TV Series,2008-2009,7.5,1200,"Michiko is a free-willed ""sexy diva"" who escaped from prison, while Hatchin is a run away girl fleeing from her strict catholic foster family. The two join forces and set off on an unpredict... Read all","Caliente latino, Manglobe, Shochiku",
Purasutikku Memorîzu,TV Series,2015-2015,7.3,2800,"After failing his college exams, 18 year old Tsukasa Mizugaki is offered a position at the renowned SAI corporation due to his father's connections. SAI corporation is known for its producti... Read all","AT-X, Aniplex, Asahi Broadcasting Corporation (ABC)",
Amagi Brilliant Park,TV Series,2014-2015,7,1400,"The film is set in an amusement park in the Tokyo suburbs of Japan, with a princess at the center of the story.",Kyoto Animation,
Chihayafuru,TV Series,2011-2020,8.1,1500,"Chihaya meets a boy named Arata, a talented karuta player who thinks that she has a potential to become a great player. Chihaya then takes on a new dream of becoming Japan's best karuta play... Read all","Madhouse, Video Audio Project (VAP)",
Lucky Star,TV Series,2007-2008,7.4,2400,"Having fun at school, doing homework together, cooking and eating, playing video games, watching anime. All these little things make up the daily life of anime and chocolate lover Izumi Kona... Read all","Kyoto Animation, Kadokawa Entertainment, Kadokawa Shoten Publishing Co.",
Flowers of Evil,TV Mini Series,2013-2013,7.6,1400,"Takao worships the class beauty, Nanako, from afar. When he is alone in the classroom one day after school, he notices her bag of gym clothes on the floor. He can't resist picking it up. He ... Read all",Zexcs,
Flowers of Evil,TV Mini Series,2013-2013,7.6,1400,"Takao worships the class beauty, Nanako, from afar. When he is alone in the classroom one day after school, he notices her bag of gym clothes on the floor. He can't resist picking it up. He ... Read all",Zexcs,
To Love-Ru - Darkness,TV Mini Series,2012-2017,7,1100,"Lala's little sister, Momo Belia Deviluke, has fallen in love with Rito. Momo plots to steal Rito away from her sister, Lala. She hopes that if Rito marries Lala, he can legally marry every ... Read all","Geneon Universal Entertainment, Sentai Filmworks, Shueisha",
Ranma ½,TV Series,1989-1992,8.1,1700,"Ranma Saotome, the boy who turns into a girl with a splash of water, always has his hands full fending off crazed admirers. One of the most fanatical is Shampoo, a girl from a tribe of Chine... Read all","Fuji Television Network, Kitty Films, Studio DEEN",
The Count of Monte Cristo,TV Series,2004-2005,7.9,2700,"Trying to escape his uneventful life, Albert, the son of a renowned general from Paris, makes a journey with his friend Franz. During his travels, he meets an immensely wealthy nobleman name... Read all",Gonzo Digimation,
Street Fighter II: V,TV Series,1995-1995,7.5,2400,"Based off of the video game, on an island off the coast of Japan, Ryu, a martial artist, was given an invitation and some American money from his friend Ken Masters, telling him to come to t... Read all","Group TAC (I), Showgate",
Pokémon Origins,TV Mini Series,2013-2013,7.9,3200,"Pokemon Origins follows Red, a Pokemon trainer, on his adventure through the Kanto Region.","East Japan Marketing & Communications Inc., Nintendo, Oriental Light and Magic (OLM)",
Sureiyâzu,TV Series,1995-2009,7.5,2400,The adventures of a teenage sorceress and her companions as they quest for gold and glory (especially gold).,"Anime-R, E&G Films, J.C. Staff",
Urusei Yatsura,TV Series,1981-1986,7.5,1200,"An unlucky, womanizing high schooler becomes the unwilling target of a vivacious alien girl's affections after winning an interplanetary game of tag against her.","Fuji Television Network, Kitty Films, Studio Gallop",
Samurai 7,TV Series,2004-2004,7.6,4400,"A small village gets raided by bandits every harvest season. The villagers can't take it anymore, and decide to recruit samurais to defend them in exchange for rice. Will the villagers find ... Read all","G.D.H., Gonzo Digimation",
Buru Jenda,TV Series,1999-2000,7.2,1300,"Yuji Kaido was diagnosed with a serious disease and since there was no cure for the unknown illness, he was cryogenically frozen.",Anime International Company (AIC),
Bobobo-bo Bo-bobo,TV Series,2003-2005,7.1,991,"The impossible adventures of Bobobo-bo Bo-bobo, a warrior who fights using his nose hairs to defeat an evil empire that wants to turn the human race bald.",Toei Animation,
Beck: Mongolian Chop Squad,TV Series,2004-2005,8.3,2600,"Koyuki Tanaka's boring life is changed after meeting Ryusuke Minami, a local musician with a bad attitude, who introduces him to foreign music.",Madhouse,
Dansu in za vanpaia bando,TV Mini Series,2010-2010,6.5,875,"Vampire queen Mina Tepes comes out of hiding to offer peace between vampires and humans. Japan gives her a bund, where she goes to live with her people. However, extremist human and vampire ... Read all",,
UFO robo: Gurendaizâ,TV Series,1975-1977,8.4,2400,"Escaping from Vega's evil forces, the young Prince of planet Fleed leaves his destroyed homeland aboard the UFO Robot Grendizer, a powerful war machine, and makes it to Earth. Rescued by a b... Read all","Asatsu-DK, Dynamic Planning, Toei Animation",
Watashi ga motenai no wa dô kangaetemo omaera ga warui!,TV Mini Series,2013-2013,7.2,2400,"Kuroki Tomoko is a super popular female schoolgirl, with 50 years experience in dating and more than 100 boys - but just in the dating video games. In real life is a closed and shy person wh... Read all","AT-X, Bushiroad, Dax Production",
Watashi ga motenai no wa dô kangaetemo omaera ga warui!,TV Mini Series,2013-2013,7.2,2400,"Kuroki Tomoko is a super popular female schoolgirl, with 50 years experience in dating and more than 100 boys - but just in the dating video games. In real life is a closed and shy person wh... Read all","AT-X, Bushiroad, Dax Production",
Black Bullet,TV Series,2014-2014,6.8,3200,"A near future, where humans have been defeated by the viral parasites named Gastrea.","ASCII Mediaworks, AT-X, Kinema Citrus",
Aldnoah.Zero,TV Series,2014-2015,7.1,2400,"In 1972, an ancient alien hypergate was discovered on the surface of the moon. Using this technology, humanity began migrating to Mars and settling there. After settlers discovered additiona... Read all","A-1 Pictures, Aniplex, Olympus Knights",
Gekkan Shôjo Nozaki-kun,TV Mini Series,2014-2014,7.5,4000,"Chiyo Sakura confesses her feelings to her schoolmate Nozaki. Due to a misunderstanding, Nozaki thinks Chiyo is just a fan. She then discovers Nozaki's other identity; a shojo manga artist.",Dogakobo,
Berusaiyu no bara,TV Series,1979-1980,8.3,2300,"The story of Lady Oscar, a female military commander who served during the time of the French Revolution.",TMS Entertainment,
Berusaiyu no bara,TV Series,1979-1980,8.3,2300,"The story of Lady Oscar, a female military commander who served during the time of the French Revolution.",TMS Entertainment,
Nisemonogatari,TV Mini Series,2012-2014,7.6,3000,"Set after the events of Bakemonogatari, one of the men who deceived Hitagi, Kaiki Deishu, returns to town to spread the incantation which cursed Nadeko before. Koyomi's sisters Karen and Tsu... Read all","Aniplex, Kôdansha, SHAFT",
Ekkusu,TV Series,2001-2002,7.5,1800,"Kamui Shirou and Fuuma Monou have been best friends ever since they were kids. Fate, however, separates them when Fuuma's mother died under a mysterious circumstances. Fast forward, 6 years ... Read all","Bandai Visual Company, Kadokawa Shoten Publishing Co., Madhouse",
Ookami Shoujo to Kuro Ouji,TV Mini Series,2014-2015,6.9,3000,"Shinohara Erika is a first year of high school student. While talking to her popular friends, she makes up a story about her ""boyfriend."" But In reality, Erika doesn't have a boyfriend. Erik... Read all","Nippon Television Network (NTV), TYO Animations",
